subjects	cluster.id
subject1	4
subject2	3
subject3	6
subject4	15
subject5	1
subject6	2
subject7	7
subject8	10
subject9	2
subject10	7
subject11	2
subject12	11
subject13	6
subject14	12
subject15	12
subject16	5
subject17	5
subject18	12
subject19	13
subject20	4
subject21	5
subject22	12
subject23	6
subject24	15
subject25	1
subject26	5
subject27	11
subject28	11
subject29	5
subject30	1
subject31	3
subject32	2
subject33	1
subject34	9
subject35	5
subject36	12
subject37	2
subject38	4
subject39	12
subject40	9
subject41	5
subject42	7
subject43	10
subject44	5
subject45	5
subject46	1
subject47	11
subject48	12
subject49	12
subject50	13
subject51	11
subject52	5
subject53	5
subject54	15
subject55	1
subject56	12
subject57	11
subject58	15
subject59	11
subject60	2
subject61	1
subject62	12
subject63	13
subject64	3
subject65	7
subject66	10
subject67	15
subject68	12
subject69	12
subject70	11
subject71	12
subject72	1
subject73	15
subject74	1
subject75	2
subject76	12
subject77	8
subject78	1
subject79	1
subject80	5
subject81	5
subject82	7
subject83	11
subject84	3
subject85	5
subject86	12
subject87	12
subject88	12
subject89	12
subject90	1
subject91	5
subject92	13
subject93	1
subject94	2
subject95	15
subject96	7
subject97	2
subject98	2
subject99	9
subject100	12
subject101	11
subject102	12
subject103	1
subject104	11
subject105	12
subject106	12
subject107	2
subject108	11
subject109	10
subject110	7
subject111	4
subject112	15
subject113	11
subject114	1
subject115	1
subject116	12
subject117	13
subject118	2
subject119	3
subject120	1
subject121	2
subject122	8
subject123	8
subject124	7
subject125	2
subject126	2
subject127	11
subject128	12
subject129	1
subject130	1
subject131	7
subject132	1
subject133	7
subject134	14
subject135	7
subject136	9
subject137	15
subject138	6
subject139	8
subject140	5
subject141	5
subject142	12
subject143	12
subject144	6
subject145	10
subject146	12
subject147	12
subject148	5
subject149	8
subject150	1
subject151	5
subject152	5
subject153	12
subject154	15
subject155	12
subject156	15
subject157	12
subject158	13
subject159	10
subject160	6
subject161	12
subject162	11
subject163	11
subject164	15
subject165	4
subject166	11
subject167	11
subject168	3
subject169	11
subject170	9
subject171	12
subject172	12
subject173	1
subject174	2
subject175	11
subject176	12
subject177	7
subject178	13
subject179	1
subject180	3
subject181	11
subject182	7
subject183	1
subject184	2
subject185	12
subject186	7
subject187	7
subject188	1
subject189	2
subject190	9
subject191	12
subject192	12
subject193	1
subject194	7
subject195	15
subject196	5
subject197	12
subject198	10
subject199	2
subject200	4
subject201	12
subject202	12
subject203	4
subject204	10
subject205	12
subject206	12
subject207	11
subject208	1
subject209	7
subject210	5
subject211	7
subject212	1
subject213	15
subject214	3
subject215	4
subject216	5
subject217	11
subject218	1
