subjects	cluster.id
subject1	9
subject2	15
subject3	1
subject4	14
subject5	9
subject6	14
subject7	11
subject8	2
subject9	6
subject10	3
subject11	5
subject12	10
subject13	3
subject14	15
subject15	10
subject16	11
subject17	9
subject18	13
subject19	3
subject20	2
subject21	11
subject22	9
subject23	2
subject24	4
subject25	15
subject26	14
subject27	8
subject28	5
subject29	12
subject30	7
subject31	4
subject32	13
subject33	1
subject34	2
subject35	11
subject36	10
subject37	1
subject38	8
subject39	3
subject40	10
subject41	6
subject42	7
subject43	10
subject44	13
subject45	5
subject46	4
subject47	4
subject48	4
subject49	2
subject50	1
subject51	13
subject52	3
subject53	6
subject54	14
subject55	4
subject56	10
subject57	5
subject58	7
subject59	10
subject60	13
subject61	10
subject62	4
subject63	9
subject64	8
subject65	11
subject66	1
subject67	9
subject68	12
subject69	13
subject70	11
subject71	3
subject72	1
subject73	2
subject74	8
subject75	7
subject76	4
subject77	6
subject78	6
subject79	11
subject80	2
subject81	8
subject82	4
subject83	13
subject84	9
subject85	14
subject86	11
subject87	14
subject88	11
subject89	10
subject90	9
subject91	4
subject92	1
subject93	9
subject94	7
subject95	5
subject96	10
subject97	5
subject98	4
subject99	14
subject100	13
subject101	6
subject102	4
subject103	13
subject104	4
subject105	3
subject106	12
subject107	7
subject108	5
subject109	13
subject110	7
subject111	8
subject112	3
subject113	6
subject114	14
subject115	1
subject116	9
subject117	10
subject118	1
subject119	15
subject120	14
subject121	5
subject122	1
subject123	9
subject124	5
subject125	14
subject126	1
subject127	5
subject128	10
subject129	12
subject130	6
subject131	1
subject132	6
subject133	14
subject134	9
subject135	13
subject136	9
subject137	5
subject138	9
subject139	15
subject140	4
subject141	2
subject142	2
subject143	2
subject144	5
subject145	12
subject146	13
subject147	7
subject148	14
subject149	11
subject150	6
subject151	3
subject152	5
subject153	6
subject154	5
subject155	8
subject156	9
subject157	5
subject158	11
subject159	7
subject160	13
subject161	3
subject162	15
subject163	14
subject164	5
subject165	6
subject166	7
subject167	8
subject168	15
subject169	1
