subjects	cluster.id
6727	subject6727	7
2409	subject2409	1
7822	subject7822	2
6977	subject6977	4
5306	subject5306	6
9226	subject9226	7
7830	subject7830	5
2339	subject2339	8
3351	subject3351	6
1976	subject1976	7
6725	subject6725	1
2439	subject2439	1
4670	subject4670	8
8595	subject8595	2
4587	subject4587	1
8769	subject8769	1
3493	subject3493	2
6035	subject6035	3
4986	subject4986	3
4556	subject4556	1
4489	subject4489	2
7839	subject7839	7
5301	subject5301	2
5669	subject5669	1
1786	subject1786	2
5498	subject5498	1
2628	subject2628	6
7800	subject7800	1
4345	subject4345	6
1743	subject1743	1
1247	subject1247	6
7184	subject7184	1
3613	subject3613	1
7177	subject7177	7
2401	subject2401	5
7579	subject7579	8
8536	subject8536	4
3624	subject3624	6
9924	subject9924	6
8796	subject8796	8
8004	subject8004	5
6343	subject6343	2
3938	subject3938	4
397	subject397	2
5506	subject5506	5
1846	subject1846	1
4665	subject4665	2
7213	subject7213	9
7838	subject7838	7
5325	subject5325	3
1132	subject1132	5
4255	subject4255	5
6914	subject6914	5
5268	subject5268	5
4169	subject4169	1
7812	subject7812	9
223	subject223	4
6548	subject6548	4
8727	subject8727	9
7745	subject7745	6
7138	subject7138	5
1320	subject1320	9
371	subject371	6
79	subject79	1
9249	subject9249	4
621	subject621	4
9362	subject9362	3
9270	subject9270	3
4560	subject4560	1
7292	subject7292	3
2273	subject2273	8
6581	subject6581	8
4448	subject4448	1
877	subject877	8
2351	subject2351	5
4643	subject4643	1
8388	subject8388	9
5448	subject5448	1
6640	subject6640	9
7548	subject7548	4
3160	subject3160	2
8238	subject8238	8
7504	subject7504	4
5213	subject5213	2
9100	subject9100	10
4842	subject4842	5
5771	subject5771	1
3294	subject3294	1
5934	subject5934	1
3211	subject3211	1
5169	subject5169	7
5801	subject5801	6
5569	subject5569	1
7736	subject7736	1
1628	subject1628	1
43	subject43	8
1276	subject1276	5
5222	subject5222	8
3337	subject3337	2
4338	subject4338	10
665	subject665	5
5752	subject5752	4
9969	subject9969	1
2226	subject2226	8
3033	subject3033	3
7490	subject7490	9
6760	subject6760	7
9843	subject9843	6
3526	subject3526	4
6089	subject6089	1
2864	subject2864	9
2732	subject2732	1
1290	subject1290	1
724	subject724	6
2814	subject2814	6
3642	subject3642	9
9856	subject9856	10
8474	subject8474	6
3132	subject3132	5
6710	subject6710	3
6507	subject6507	9
2075	subject2075	7
9998	subject9998	7
8812	subject8812	6
9395	subject9395	5
5705	subject5705	5
2144	subject2144	6
3236	subject3236	3
8954	subject8954	5
2054	subject2054	6
8416	subject8416	8
3379	subject3379	6
310	subject310	7
3817	subject3817	6
7481	subject7481	3
612	subject612	7
4294	subject4294	10
888	subject888	8
8708	subject8708	1
1034	subject1034	4
4219	subject4219	3
5812	subject5812	5
3089	subject3089	6
9884	subject9884	1
9312	subject9312	1
2758	subject2758	10
5092	subject5092	1
4337	subject4337	6
7887	subject7887	2
2436	subject2436	2
6588	subject6588	7
6250	subject6250	5
4558	subject4558	7
2974	subject2974	3
1101	subject1101	6
8438	subject8438	6
2534	subject2534	4
9152	subject9152	5
4626	subject4626	5
4387	subject4387	6
6832	subject6832	1
1850	subject1850	4
5011	subject5011	6
8188	subject8188	4
7059	subject7059	6
5844	subject5844	7
4210	subject4210	6
5133	subject5133	3
5264	subject5264	1
7751	subject7751	1
4945	subject4945	8
6179	subject6179	4
6056	subject6056	1
9549	subject9549	4
7185	subject7185	5
5414	subject5414	2
7381	subject7381	5
5344	subject5344	6
4213	subject4213	1
5809	subject5809	6
6866	subject6866	1
1905	subject1905	9
7360	subject7360	7
8728	subject8728	7
2550	subject2550	5
