subjects	cluster.id
4776	subject4776	5
5064	subject5064	7
3898	subject3898	3
5323	subject5323	12
4443	subject4443	14
8906	subject8906	13
7438	subject7438	14
5853	subject5853	9
7855	subject7855	1
3225	subject3225	11
483	subject483	6
8259	subject8259	6
4043	subject4043	10
5439	subject5439	12
5218	subject5218	10
3211	subject3211	3
9303	subject9303	12
6586	subject6586	4
8589	subject8589	3
8756	subject8756	4
3699	subject3699	2
3850	subject3850	14
5244	subject5244	11
3508	subject3508	4
6264	subject6264	3
584	subject584	5
2546	subject2546	5
4089	subject4089	7
2821	subject2821	9
9647	subject9647	7
3222	subject3222	14
6923	subject6923	12
1377	subject1377	14
8958	subject8958	2
2113	subject2113	1
6241	subject6241	4
1515	subject1515	6
3767	subject3767	9
8329	subject8329	9
740	subject740	9
9285	subject9285	6
7278	subject7278	4
3170	subject3170	14
8758	subject8758	6
7066	subject7066	6
1026	subject1026	2
9417	subject9417	2
7175	subject7175	6
6411	subject6411	11
4595	subject4595	14
800	subject800	6
9810	subject9810	15
9952	subject9952	4
7830	subject7830	13
5144	subject5144	6
4785	subject4785	13
359	subject359	7
3656	subject3656	14
5355	subject5355	11
268	subject268	10
6181	subject6181	3
934	subject934	3
305	subject305	3
3136	subject3136	2
6734	subject6734	9
763	subject763	12
1628	subject1628	9
1053	subject1053	4
4720	subject4720	7
1609	subject1609	4
3182	subject3182	7
8799	subject8799	14
3548	subject3548	10
2436	subject2436	7
4493	subject4493	6
7239	subject7239	7
4215	subject4215	11
4935	subject4935	4
979	subject979	6
8234	subject8234	2
698	subject698	9
7182	subject7182	1
9097	subject9097	1
781	subject781	2
4008	subject4008	7
2598	subject2598	11
570	subject570	12
724	subject724	5
981	subject981	12
7864	subject7864	3
8328	subject8328	9
6217	subject6217	8
4647	subject4647	12
8002	subject8002	9
7889	subject7889	7
1908	subject1908	1
3921	subject3921	14
1514	subject1514	7
4644	subject4644	4
1208	subject1208	13
6861	subject6861	1
3376	subject3376	4
4363	subject4363	6
8751	subject8751	8
8132	subject8132	15
7407	subject7407	12
6554	subject6554	8
8374	subject8374	12
7376	subject7376	10
1836	subject1836	11
7498	subject7498	4
8330	subject8330	2
9568	subject9568	5
2587	subject2587	13
1048	subject1048	9
7030	subject7030	7
6587	subject6587	11
1123	subject1123	8
8293	subject8293	13
9149	subject9149	4
9449	subject9449	1
9188	subject9188	11
712	subject712	3
9181	subject9181	11
812	subject812	8
289	subject289	6
2891	subject2891	12
6413	subject6413	15
2274	subject2274	1
2110	subject2110	5
8142	subject8142	7
1465	subject1465	5
7763	subject7763	14
4745	subject4745	8
2693	subject2693	11
32	subject32	9
8107	subject8107	6
8078	subject8078	7
4420	subject4420	2
1947	subject1947	8
3162	subject3162	15
2122	subject2122	2
8971	subject8971	7
5506	subject5506	7
7335	subject7335	4
2398	subject2398	10
7034	subject7034	11
1983	subject1983	9
8535	subject8535	10
476	subject476	8
1879	subject1879	4
1163	subject1163	15
7638	subject7638	9
8604	subject8604	14
8829	subject8829	3
6838	subject6838	13
7146	subject7146	1
621	subject621	2
2671	subject2671	3
9077	subject9077	5
4713	subject4713	13
7112	subject7112	14
1784	subject1784	5
159	subject159	11
1350	subject1350	12
5945	subject5945	2
2286	subject2286	6
9197	subject9197	11
4562	subject4562	13
363	subject363	11
6103	subject6103	7
5190	subject5190	14
5983	subject5983	14
8815	subject8815	6
6374	subject6374	3
167	subject167	14
7975	subject7975	7
3779	subject3779	14
9062	subject9062	5
8008	subject8008	11
6186	subject6186	3
4841	subject4841	4
9430	subject9430	2
265	subject265	15
9210	subject9210	4
6268	subject6268	10
5412	subject5412	9
1437	subject1437	7
1733	subject1733	11
6860	subject6860	1
2727	subject2727	14
2240	subject2240	1
600	subject600	14
7318	subject7318	2
5626	subject5626	7
8205	subject8205	14
9444	subject9444	9
1197	subject1197	8
9438	subject9438	12
5078	subject5078	11
8838	subject8838	3
5694	subject5694	3
1281	subject1281	7
7372	subject7372	3
5607	subject5607	13
5785	subject5785	13
1342	subject1342	14
4928	subject4928	8
4053	subject4053	15
7968	subject7968	6
3442	subject3442	13
9245	subject9245	12
1062	subject1062	2
1772	subject1772	5
3145	subject3145	12
8185	subject8185	1
8646	subject8646	9
6941	subject6941	8
9576	subject9576	7
1490	subject1490	2
2207	subject2207	9
5051	subject5051	11
6119	subject6119	8
1500	subject1500	4
733	subject733	10
1899	subject1899	14
279	subject279	1
5314	subject5314	11
3613	subject3613	7
5185	subject5185	15
8889	subject8889	12
7242	subject7242	8
1913	subject1913	13
9954	subject9954	11
1790	subject1790	9
9008	subject9008	2
5596	subject5596	5
8872	subject8872	3
9780	subject9780	1
9460	subject9460	2
6606	subject6606	11
9010	subject9010	6
1306	subject1306	1
7751	subject7751	7
1701	subject1701	6
5231	subject5231	3
7717	subject7717	14
6143	subject6143	15
2256	subject2256	5
3840	subject3840	8
8118	subject8118	4
4742	subject4742	9
7307	subject7307	3
6822	subject6822	10
8617	subject8617	14
2061	subject2061	11
27	subject27	1
266	subject266	14
4978	subject4978	10
7712	subject7712	10
7142	subject7142	4
5091	subject5091	4
5663	subject5663	15
9437	subject9437	9
9429	subject9429	7
1276	subject1276	9
902	subject902	3
6551	subject6551	12
1662	subject1662	10
1687	subject1687	11
9720	subject9720	10
9147	subject9147	10
6839	subject6839	8
333	subject333	14
3948	subject3948	10
804	subject804	9
990	subject990	15
4132	subject4132	11
9870	subject9870	11
4241	subject4241	2
5143	subject5143	10
5223	subject5223	13
5269	subject5269	6
1895	subject1895	4
1869	subject1869	8
9085	subject9085	11
8632	subject8632	12
2588	subject2588	12
8988	subject8988	12
2409	subject2409	9
3163	subject3163	1
4908	subject4908	11
9997	subject9997	3
8272	subject8272	4
813	subject813	5
1360	subject1360	1
4711	subject4711	6
5361	subject5361	7
1093	subject1093	5
5070	subject5070	14
3400	subject3400	7
6907	subject6907	13
3327	subject3327	9
1453	subject1453	7
9453	subject9453	6
3254	subject3254	15
3618	subject3618	6
377	subject377	3
6975	subject6975	2
5651	subject5651	1
275	subject275	2
2732	subject2732	6
3361	subject3361	1
4889	subject4889	2
8160	subject8160	3
9771	subject9771	1
3077	subject3077	6
9853	subject9853	4
6341	subject6341	6
1334	subject1334	6
3929	subject3929	9
7359	subject7359	9
3232	subject3232	8
2939	subject2939	12
