subjects	cluster.id
8209	subject8209	10
1149	subject1149	1
9898	subject9898	11
8141	subject8141	9
4404	subject4404	14
6517	subject6517	4
8752	subject8752	3
1415	subject1415	4
7880	subject7880	11
4479	subject4479	15
3632	subject3632	13
5996	subject5996	11
7640	subject7640	2
4613	subject4613	13
5705	subject5705	10
2709	subject2709	13
5890	subject5890	3
1046	subject1046	6
1749	subject1749	3
511	subject511	5
5691	subject5691	4
6527	subject6527	6
7972	subject7972	5
5947	subject5947	14
3357	subject3357	11
521	subject521	14
3603	subject3603	6
3572	subject3572	4
6959	subject6959	2
8310	subject8310	11
7081	subject7081	15
7132	subject7132	13
6625	subject6625	2
9721	subject9721	1
5390	subject5390	9
5391	subject5391	3
9327	subject9327	2
429	subject429	13
2120	subject2120	10
3178	subject3178	13
9011	subject9011	11
5449	subject5449	11
9596	subject9596	2
1392	subject1392	9
9810	subject9810	15
731	subject731	11
3663	subject3663	2
2002	subject2002	15
8646	subject8646	9
4849	subject4849	14
5465	subject5465	11
544	subject544	2
8130	subject8130	9
4368	subject4368	4
669	subject669	1
3637	subject3637	5
493	subject493	3
5686	subject5686	4
5790	subject5790	10
1531	subject1531	6
859	subject859	7
3613	subject3613	7
350	subject350	13
826	subject826	14
9443	subject9443	2
8810	subject8810	6
9972	subject9972	10
4089	subject4089	7
7976	subject7976	5
1768	subject1768	6
8529	subject8529	1
7543	subject7543	14
7271	subject7271	8
1583	subject1583	5
8972	subject8972	12
7998	subject7998	1
8637	subject8637	15
5013	subject5013	2
8891	subject8891	1
2417	subject2417	9
9702	subject9702	8
783	subject783	12
3532	subject3532	1
9057	subject9057	15
9452	subject9452	4
9615	subject9615	4
2835	subject2835	15
4254	subject4254	11
5427	subject5427	4
9709	subject9709	15
1838	subject1838	13
9401	subject9401	4
2221	subject2221	1
8340	subject8340	8
9756	subject9756	10
6397	subject6397	2
5329	subject5329	6
1499	subject1499	2
6867	subject6867	9
7281	subject7281	12
1923	subject1923	5
8532	subject8532	6
7647	subject7647	11
1281	subject1281	7
4949	subject4949	5
1837	subject1837	10
4750	subject4750	3
3256	subject3256	2
9910	subject9910	3
6617	subject6617	10
4707	subject4707	1
9434	subject9434	5
3985	subject3985	8
8721	subject8721	8
4123	subject4123	15
4042	subject4042	1
753	subject753	9
8352	subject8352	6
6237	subject6237	15
4034	subject4034	7
3826	subject3826	5
3619	subject3619	7
5419	subject5419	13
8517	subject8517	8
3389	subject3389	1
4727	subject4727	8
8796	subject8796	12
5083	subject5083	12
2189	subject2189	13
2083	subject2083	3
8839	subject8839	3
1913	subject1913	13
7244	subject7244	5
56	subject56	3
6071	subject6071	9
3107	subject3107	15
8584	subject8584	2
325	subject325	15
3748	subject3748	1
3701	subject3701	5
1239	subject1239	5
4912	subject4912	15
2066	subject2066	11
6469	subject6469	3
7569	subject7569	2
725	subject725	14
3435	subject3435	13
674	subject674	10
7315	subject7315	10
3902	subject3902	7
6278	subject6278	7
7507	subject7507	4
902	subject902	3
6699	subject6699	9
3742	subject3742	5
8207	subject8207	11
6365	subject6365	11
9440	subject9440	15
6657	subject6657	6
6724	subject6724	5
1483	subject1483	5
604	subject604	4
165	subject165	11
773	subject773	1
3546	subject3546	11
7878	subject7878	13
9357	subject9357	14
4889	subject4889	2
1608	subject1608	6
5568	subject5568	11
2031	subject2031	11
4603	subject4603	1
3022	subject3022	12
1175	subject1175	4
7500	subject7500	13
5389	subject5389	9
3451	subject3451	8
9551	subject9551	1
5565	subject5565	6
891	subject891	10
3957	subject3957	11
3607	subject3607	14
6570	subject6570	13
5183	subject5183	6
7475	subject7475	15
104	subject104	8
6700	subject6700	13
7008	subject7008	15
8401	subject8401	8
7992	subject7992	13
6406	subject6406	13
6441	subject6441	6
1261	subject1261	10
8777	subject8777	13
1395	subject1395	1
8185	subject8185	1
6787	subject6787	1
2723	subject2723	15
9096	subject9096	5
6468	subject6468	5
3574	subject3574	6
6317	subject6317	2
4376	subject4376	6
7656	subject7656	1
5312	subject5312	15
9505	subject9505	1
3249	subject3249	14
4249	subject4249	1
3898	subject3898	3
6447	subject6447	2
9453	subject9453	6
8464	subject8464	12
5064	subject5064	7
5032	subject5032	1
2686	subject2686	8
6609	subject6609	8
2824	subject2824	9
1139	subject1139	11
5521	subject5521	7
7436	subject7436	5
9601	subject9601	14
4969	subject4969	12
6721	subject6721	4
1521	subject1521	1
3958	subject3958	2
237	subject237	5
9753	subject9753	15
1869	subject1869	8
7971	subject7971	7
5704	subject5704	2
7306	subject7306	14
7659	subject7659	13
1011	subject1011	9
3967	subject3967	2
1951	subject1951	13
6064	subject6064	2
1124	subject1124	2
6375	subject6375	3
4654	subject4654	6
7572	subject7572	12
7332	subject7332	14
8904	subject8904	15
7582	subject7582	12
4821	subject4821	3
5038	subject5038	6
5302	subject5302	2
3257	subject3257	2
4046	subject4046	9
3120	subject3120	3
2117	subject2117	9
7350	subject7350	11
546	subject546	2
9861	subject9861	15
2295	subject2295	11
6811	subject6811	6
3308	subject3308	11
9329	subject9329	8
9174	subject9174	9
6647	subject6647	5
791	subject791	11
4353	subject4353	14
1615	subject1615	12
4307	subject4307	15
2588	subject2588	12
2604	subject2604	6
3231	subject3231	9
2507	subject2507	1
2772	subject2772	11
2277	subject2277	4
9092	subject9092	7
8618	subject8618	8
9163	subject9163	14
8450	subject8450	7
5425	subject5425	6
99	subject99	11
996	subject996	7
4951	subject4951	5
1896	subject1896	5
5165	subject5165	2
2716	subject2716	1
8117	subject8117	11
3172	subject3172	15
3773	subject3773	12
7748	subject7748	9
4902	subject4902	12
9837	subject9837	1
9514	subject9514	8
7879	subject7879	15
4045	subject4045	12
1044	subject1044	5
6696	subject6696	7
8908	subject8908	2
7240	subject7240	13
6312	subject6312	5
7178	subject7178	2
585	subject585	5
4922	subject4922	2
4903	subject4903	15
509	subject509	6
5381	subject5381	1
4036	subject4036	8
4631	subject4631	8
6380	subject6380	13
4714	subject4714	14
5424	subject5424	14
6901	subject6901	7
7920	subject7920	1
460	subject460	2
5342	subject5342	15
7894	subject7894	6
2449	subject2449	6
9310	subject9310	15
2963	subject2963	8
409	subject409	15
5678	subject5678	10
6764	subject6764	1
892	subject892	5
5411	subject5411	11
3554	subject3554	10
3475	subject3475	14
3578	subject3578	11
1059	subject1059	15
9263	subject9263	9
449	subject449	1
9265	subject9265	13
1094	subject1094	8
1438	subject1438	13
6680	subject6680	10
9552	subject9552	11
343	subject343	15
9956	subject9956	6
5516	subject5516	6
1311	subject1311	4
5553	subject5553	11
2821	subject2821	9
8145	subject8145	1
4560	subject4560	11
1730	subject1730	8
8403	subject8403	11
6483	subject6483	2
9056	subject9056	7
7212	subject7212	5
3422	subject3422	2
4090	subject4090	9
4383	subject4383	6
6912	subject6912	8
3595	subject3595	3
7638	subject7638	9
7729	subject7729	1
2535	subject2535	7
9536	subject9536	5
2966	subject2966	2
3628	subject3628	9
5262	subject5262	11
7531	subject7531	1
9382	subject9382	10
85	subject85	9
3856	subject3856	13
6594	subject6594	7
3251	subject3251	2
2660	subject2660	12
4881	subject4881	9
3077	subject3077	6
967	subject967	6
8997	subject8997	6
5560	subject5560	12
3297	subject3297	2
5642	subject5642	13
2715	subject2715	11
7952	subject7952	11
9802	subject9802	13
6439	subject6439	10
1782	subject1782	12
8276	subject8276	3
3019	subject3019	7
7200	subject7200	9
8569	subject8569	12
6294	subject6294	2
4371	subject4371	11
1862	subject1862	2
3783	subject3783	12
2369	subject2369	15
4632	subject4632	15
744	subject744	5
8324	subject8324	9
6463	subject6463	8
8562	subject8562	6
9720	subject9720	10
2220	subject2220	7
424	subject424	10
5382	subject5382	7
7859	subject7859	15
1792	subject1792	11
8736	subject8736	1
6619	subject6619	5
6702	subject6702	11
5913	subject5913	1
9410	subject9410	5
8857	subject8857	4
2038	subject2038	11
2171	subject2171	6
2819	subject2819	3
6222	subject6222	9
5549	subject5549	14
4599	subject4599	3
2587	subject2587	13
5919	subject5919	4
4638	subject4638	12
8804	subject8804	3
5039	subject5039	4
2542	subject2542	11
6055	subject6055	13
5743	subject5743	5
3853	subject3853	2
4581	subject4581	12
8930	subject8930	6
5764	subject5764	3
9121	subject9121	4
8779	subject8779	9
7050	subject7050	9
443	subject443	5
4664	subject4664	12
9415	subject9415	15
5949	subject5949	11
4756	subject4756	9
9913	subject9913	10
1883	subject1883	1
5724	subject5724	4
1821	subject1821	9
9651	subject9651	5
5155	subject5155	7
