subjects	cluster.id
5542	subject5542	1
3616	subject3616	5
8207	subject8207	1
5462	subject5462	4
7385	subject7385	1
5305	subject5305	1
1678	subject1678	1
6580	subject6580	5
8792	subject8792	5
3704	subject3704	3
4159	subject4159	1
4445	subject4445	1
412	subject412	1
7513	subject7513	1
269	subject269	1
4784	subject4784	1
883	subject883	3
3092	subject3092	1
6069	subject6069	5
7850	subject7850	1
1793	subject1793	3
9435	subject9435	3
8768	subject8768	3
4513	subject4513	5
9020	subject9020	3
4740	subject4740	5
7725	subject7725	2
1706	subject1706	2
8129	subject8129	5
3247	subject3247	4
8673	subject8673	1
7994	subject7994	1
3483	subject3483	5
131	subject131	5
5218	subject5218	5
187	subject187	4
2002	subject2002	2
7533	subject7533	5
2648	subject2648	2
1732	subject1732	3
4215	subject4215	2
1104	subject1104	3
5996	subject5996	3
5056	subject5056	1
9018	subject9018	1
5908	subject5908	1
2956	subject2956	5
9472	subject9472	1
5589	subject5589	1
1565	subject1565	5
9596	subject9596	3
4793	subject4793	5
89	subject89	5
6615	subject6615	3
6472	subject6472	5
9174	subject9174	1
2315	subject2315	1
7623	subject7623	5
7656	subject7656	3
5923	subject5923	3
5213	subject5213	4
8018	subject8018	2
1061	subject1061	3
9836	subject9836	5
4619	subject4619	3
2640	subject2640	2
2878	subject2878	3
8230	subject8230	1
3603	subject3603	3
838	subject838	5
9429	subject9429	1
3342	subject3342	2
5728	subject5728	3
7989	subject7989	1
453	subject453	2
6059	subject6059	3
9040	subject9040	5
4238	subject4238	2
7615	subject7615	3
7642	subject7642	1
8454	subject8454	5
1152	subject1152	2
5470	subject5470	5
739	subject739	5
7559	subject7559	1
5324	subject5324	4
9804	subject9804	1
5007	subject5007	5
5882	subject5882	2
6222	subject6222	1
4667	subject4667	3
4738	subject4738	2
3775	subject3775	4
3359	subject3359	1
6230	subject6230	5
6448	subject6448	1
1318	subject1318	3
1226	subject1226	1
9101	subject9101	1
4036	subject4036	3
3824	subject3824	1
8160	subject8160	1
2473	subject2473	1
7465	subject7465	4
1896	subject1896	5
6039	subject6039	1
5579	subject5579	2
1144	subject1144	1
216	subject216	2
1949	subject1949	2
8971	subject8971	1
186	subject186	1
7289	subject7289	4
7749	subject7749	2
82	subject82	3
7093	subject7093	5
4452	subject4452	2
7693	subject7693	1
4320	subject4320	5
4601	subject4601	1
599	subject599	1
656	subject656	3
3805	subject3805	3
4916	subject4916	5
9949	subject9949	4
3977	subject3977	5
6148	subject6148	5
6175	subject6175	3
5016	subject5016	1
6609	subject6609	1
8731	subject8731	5
1919	subject1919	2
2214	subject2214	5
1350	subject1350	5
9052	subject9052	3
1501	subject1501	1
9901	subject9901	3
8643	subject8643	3
7562	subject7562	1
8374	subject8374	2
1219	subject1219	4
3204	subject3204	1
5242	subject5242	3
8913	subject8913	4
336	subject336	3
1312	subject1312	5
4057	subject4057	3
7965	subject7965	3
2148	subject2148	5
2780	subject2780	3
1252	subject1252	1
9579	subject9579	5
4338	subject4338	1
1603	subject1603	1
2171	subject2171	5
4462	subject4462	3
7685	subject7685	1
7874	subject7874	2
4783	subject4783	1
4290	subject4290	2
717	subject717	4
5304	subject5304	1
957	subject957	5
1672	subject1672	4
7499	subject7499	3
9292	subject9292	4
658	subject658	1
9850	subject9850	3
6987	subject6987	1
7860	subject7860	3
497	subject497	5
616	subject616	3
8404	subject8404	2
3429	subject3429	2
3527	subject3527	4
8134	subject8134	5
8416	subject8416	1
4465	subject4465	1
2312	subject2312	1
7208	subject7208	2
3058	subject3058	3
630	subject630	5
6568	subject6568	1
1086	subject1086	4
4567	subject4567	5
9823	subject9823	5
4013	subject4013	5
1750	subject1750	2
3213	subject3213	1
7329	subject7329	1
4904	subject4904	1
8097	subject8097	4
6766	subject6766	2
5477	subject5477	5
9326	subject9326	2
7741	subject7741	2
2858	subject2858	5
9839	subject9839	3
4001	subject4001	1
4716	subject4716	2
5130	subject5130	3
5617	subject5617	1
6047	subject6047	1
9246	subject9246	3
7123	subject7123	2
4751	subject4751	4
5721	subject5721	1
2638	subject2638	3
6451	subject6451	5
1313	subject1313	5
6722	subject6722	1
3072	subject3072	1
6768	subject6768	3
3448	subject3448	2
3529	subject3529	1
7845	subject7845	1
9700	subject9700	1
2328	subject2328	2
455	subject455	1
423	subject423	1
3064	subject3064	3
3710	subject3710	4
7127	subject7127	3
5915	subject5915	1
4899	subject4899	1
798	subject798	1
1862	subject1862	5
3252	subject3252	4
1197	subject1197	1
4124	subject4124	1
4268	subject4268	3
3864	subject3864	1
8837	subject8837	1
847	subject847	5
9037	subject9037	1
8334	subject8334	1
255	subject255	1
5719	subject5719	5
333	subject333	3
9107	subject9107	3
5095	subject5095	1
4245	subject4245	1
8973	subject8973	5
1128	subject1128	3
1700	subject1700	2
4374	subject4374	4
7087	subject7087	1
7226	subject7226	5
1268	subject1268	4
8029	subject8029	2
7796	subject7796	3
735	subject735	5
6228	subject6228	5
415	subject415	5
4772	subject4772	4
6207	subject6207	1
5550	subject5550	1
1641	subject1641	5
5724	subject5724	1
7970	subject7970	3
2054	subject2054	5
4276	subject4276	1
9356	subject9356	3
6150	subject6150	1
3485	subject3485	1
232	subject232	5
1936	subject1936	3
8231	subject8231	5
6391	subject6391	3
4943	subject4943	1
2634	subject2634	3
1537	subject1537	1
750	subject750	5
6745	subject6745	1
3548	subject3548	5
6883	subject6883	4
8683	subject8683	4
9557	subject9557	3
6796	subject6796	3
4000	subject4000	3
3608	subject3608	5
4328	subject4328	5
8417	subject8417	5
8364	subject8364	1
809	subject809	4
688	subject688	1
6845	subject6845	1
8508	subject8508	3
4684	subject4684	3
9998	subject9998	5
8429	subject8429	3
6142	subject6142	1
7370	subject7370	1
9882	subject9882	5
4179	subject4179	1
3031	subject3031	1
7027	subject7027	1
6068	subject6068	2
3585	subject3585	5
6869	subject6869	4
5129	subject5129	1
9597	subject9597	5
2343	subject2343	1
1928	subject1928	3
6544	subject6544	5
1329	subject1329	3
3682	subject3682	1
1657	subject1657	1
3719	subject3719	3
7129	subject7129	5
8126	subject8126	3
6332	subject6332	5
1281	subject1281	3
4150	subject4150	3
1244	subject1244	1
3087	subject3087	4
2924	subject2924	2
9572	subject9572	2
3732	subject3732	1
1125	subject1125	2
1607	subject1607	1
7862	subject7862	3
206	subject206	1
2299	subject2299	3
4468	subject4468	3
5692	subject5692	5
532	subject532	4
1341	subject1341	1
3776	subject3776	4
6313	subject6313	2
2947	subject2947	1
9664	subject9664	4
9408	subject9408	5
2131	subject2131	4
5794	subject5794	1
2491	subject2491	5
961	subject961	5
8021	subject8021	1
5019	subject5019	4
1147	subject1147	1
6422	subject6422	4
266	subject266	1
4942	subject4942	1
2686	subject2686	5
7648	subject7648	3
4382	subject4382	4
5815	subject5815	5
4588	subject4588	1
9157	subject9157	3
6382	subject6382	2
8663	subject8663	4
6315	subject6315	5
8975	subject8975	1
7166	subject7166	1
8784	subject8784	1
1282	subject1282	3
3013	subject3013	1
258	subject258	1
8197	subject8197	1
7658	subject7658	3
3901	subject3901	1
7056	subject7056	1
9025	subject9025	1
7784	subject7784	2
9300	subject9300	5
7968	subject7968	1
7261	subject7261	5
9399	subject9399	3
741	subject741	5
3636	subject3636	2
1932	subject1932	1
494	subject494	3
2190	subject2190	3
6510	subject6510	3
533	subject533	1
9104	subject9104	5
5980	subject5980	1
4556	subject4556	5
9440	subject9440	3
9672	subject9672	2
8813	subject8813	5
2139	subject2139	2
5128	subject5128	4
7891	subject7891	5
3795	subject3795	2
2287	subject2287	2
9233	subject9233	3
9437	subject9437	3
259	subject259	4
8423	subject8423	2
8517	subject8517	1
3971	subject3971	5
2794	subject2794	1
9425	subject9425	1
3764	subject3764	2
1154	subject1154	2
7911	subject7911	1
6598	subject6598	1
5081	subject5081	5
4723	subject4723	1
4342	subject4342	4
7200	subject7200	5
3655	subject3655	3
1218	subject1218	5
5822	subject5822	1
2105	subject2105	2
1393	subject1393	1
4298	subject4298	3
1509	subject1509	5
7174	subject7174	2
8377	subject8377	5
4484	subject4484	5
2106	subject2106	5
9321	subject9321	3
2613	subject2613	2
1961	subject1961	1
6640	subject6640	5
5556	subject5556	1
3111	subject3111	5
7817	subject7817	1
4356	subject4356	5
7976	subject7976	1
1419	subject1419	1
8990	subject8990	4
8049	subject8049	5
6793	subject6793	1
6562	subject6562	3
536	subject536	5
1680	subject1680	4
9527	subject9527	2
3878	subject3878	2
8945	subject8945	1
6200	subject6200	5
9462	subject9462	4
6206	subject6206	1
6807	subject6807	5
4160	subject4160	5
1902	subject1902	1
1381	subject1381	3
458	subject458	1
344	subject344	2
677	subject677	1
2379	subject2379	1
3689	subject3689	1
5657	subject5657	5
2518	subject2518	2
4986	subject4986	1
4305	subject4305	3
1466	subject1466	3
3011	subject3011	5
466	subject466	1
7700	subject7700	5
7809	subject7809	1
5454	subject5454	3
6123	subject6123	1
294	subject294	5
6823	subject6823	5
554	subject554	1
9978	subject9978	3
6360	subject6360	4
8077	subject8077	3
3702	subject3702	3
684	subject684	1
3282	subject3282	3
2428	subject2428	5
2670	subject2670	1
703	subject703	1
6820	subject6820	1
76	subject76	3
5363	subject5363	1
5320	subject5320	1
1516	subject1516	3
3976	subject3976	2
9513	subject9513	3
7244	subject7244	1
8989	subject8989	5
3972	subject3972	5
4959	subject4959	4
4639	subject4639	4
2223	subject2223	1
4692	subject4692	3
4343	subject4343	1
3984	subject3984	1
9556	subject9556	3
1535	subject1535	2
7088	subject7088	1
3175	subject3175	5
4890	subject4890	1
8502	subject8502	5
3825	subject3825	2
781	subject781	5
6948	subject6948	5
9669	subject9669	4
223	subject223	5
71	subject71	5
5554	subject5554	5
9274	subject9274	2
345	subject345	1
7957	subject7957	1
6231	subject6231	1
586	subject586	3
9465	subject9465	4
7626	subject7626	1
4720	subject4720	1
6866	subject6866	2
8969	subject8969	1
1229	subject1229	4
8465	subject8465	5
3411	subject3411	4
776	subject776	3
6199	subject6199	3
3567	subject3567	3
1153	subject1153	1
6265	subject6265	3
3556	subject3556	2
9711	subject9711	2
3517	subject3517	2
803	subject803	1
1449	subject1449	4
9188	subject9188	2
4243	subject4243	4
3849	subject3849	3
8614	subject8614	1
1530	subject1530	2
6939	subject6939	1
3568	subject3568	3
4166	subject4166	3
7189	subject7189	2
9617	subject9617	2
1854	subject1854	5
4961	subject4961	1
268	subject268	4
864	subject864	1
4010	subject4010	3
2767	subject2767	1
1389	subject1389	1
5377	subject5377	5
3042	subject3042	5
4833	subject4833	3
8851	subject8851	5
4910	subject4910	3
9832	subject9832	2
3015	subject3015	3
9134	subject9134	5
5137	subject5137	3
9919	subject9919	3
3628	subject3628	4
7267	subject7267	3
8992	subject8992	2
5062	subject5062	1
9218	subject9218	1
4872	subject4872	1
9438	subject9438	1
7096	subject7096	2
1141	subject1141	4
6920	subject6920	5
8946	subject8946	1
5033	subject5033	1
8241	subject8241	1
7782	subject7782	4
9869	subject9869	5
7274	subject7274	2
5999	subject5999	1
8206	subject8206	4
8146	subject8146	1
6036	subject6036	4
2414	subject2414	1
683	subject683	1
6198	subject6198	5
4	subject4	2
8661	subject8661	5
702	subject702	3
5531	subject5531	1
1031	subject1031	3
5502	subject5502	3
4845	subject4845	5
7470	subject7470	3
1185	subject1185	5
4301	subject4301	4
5450	subject5450	1
8341	subject8341	2
3828	subject3828	4
6844	subject6844	3
4664	subject4664	5
