subjects	cluster.id
1418	subject1418	3
9952	subject9952	4
7726	subject7726	9
2594	subject2594	14
1499	subject1499	2
2367	subject2367	11
9278	subject9278	5
7730	subject7730	3
2093	subject2093	13
5215	subject5215	5
6545	subject6545	7
6792	subject6792	8
5453	subject5453	13
7621	subject7621	1
7783	subject7783	13
841	subject841	2
4162	subject4162	2
6836	subject6836	4
270	subject270	9
7027	subject7027	14
3275	subject3275	6
6093	subject6093	8
4860	subject4860	10
2315	subject2315	3
3734	subject3734	15
8430	subject8430	11
1910	subject1910	9
8889	subject8889	12
3092	subject3092	4
1590	subject1590	9
3162	subject3162	15
3223	subject3223	11
1295	subject1295	5
4092	subject4092	9
8417	subject8417	14
4153	subject4153	1
8214	subject8214	4
6516	subject6516	10
4875	subject4875	8
3118	subject3118	7
9796	subject9796	4
5965	subject5965	11
4070	subject4070	14
9514	subject9514	8
2664	subject2664	14
7453	subject7453	7
3197	subject3197	9
9190	subject9190	7
2618	subject2618	14
6240	subject6240	4
7318	subject7318	2
3726	subject3726	13
9342	subject9342	3
3656	subject3656	14
4134	subject4134	15
3225	subject3225	11
5446	subject5446	12
7698	subject7698	11
5537	subject5537	9
6943	subject6943	14
1558	subject1558	2
9142	subject9142	9
521	subject521	14
9346	subject9346	15
6438	subject6438	1
3856	subject3856	13
4684	subject4684	10
1507	subject1507	10
3123	subject3123	9
331	subject331	5
6060	subject6060	4
9041	subject9041	12
1373	subject1373	3
4549	subject4549	1
6638	subject6638	6
9916	subject9916	9
2278	subject2278	11
6984	subject6984	15
8178	subject8178	5
9719	subject9719	10
6916	subject6916	10
5436	subject5436	3
2507	subject2507	1
989	subject989	9
6008	subject6008	5
1100	subject1100	2
5719	subject5719	1
8324	subject8324	9
1031	subject1031	9
2401	subject2401	12
9297	subject9297	6
8394	subject8394	5
4066	subject4066	9
6833	subject6833	8
659	subject659	14
905	subject905	7
3160	subject3160	7
5367	subject5367	8
9651	subject9651	5
1466	subject1466	8
5994	subject5994	6
5621	subject5621	13
5612	subject5612	14
7066	subject7066	6
5715	subject5715	12
8019	subject8019	7
1159	subject1159	11
9212	subject9212	11
4454	subject4454	12
9481	subject9481	7
6053	subject6053	3
8592	subject8592	1
3678	subject3678	7
9183	subject9183	11
4784	subject4784	14
8023	subject8023	1
3851	subject3851	3
4109	subject4109	8
4182	subject4182	11
6097	subject6097	11
9422	subject9422	9
2568	subject2568	10
4108	subject4108	11
97	subject97	3
403	subject403	3
149	subject149	3
646	subject646	3
7363	subject7363	9
9539	subject9539	9
7771	subject7771	14
1223	subject1223	9
9363	subject9363	2
5336	subject5336	14
8920	subject8920	9
4466	subject4466	13
420	subject420	15
1560	subject1560	2
7396	subject7396	1
5625	subject5625	9
449	subject449	1
664	subject664	11
9674	subject9674	2
4306	subject4306	11
7695	subject7695	15
5026	subject5026	8
8458	subject8458	1
5674	subject5674	5
1665	subject1665	1
2288	subject2288	13
9129	subject9129	9
1493	subject1493	6
3614	subject3614	1
6619	subject6619	5
5907	subject5907	5
6922	subject6922	10
1316	subject1316	10
5627	subject5627	2
9783	subject9783	2
3594	subject3594	14
6716	subject6716	6
5189	subject5189	2
5414	subject5414	13
339	subject339	5
1823	subject1823	8
4909	subject4909	4
8241	subject8241	7
2637	subject2637	7
6886	subject6886	5
8239	subject8239	15
6177	subject6177	11
9788	subject9788	14
6634	subject6634	7
8028	subject8028	2
2826	subject2826	7
3834	subject3834	11
7112	subject7112	14
8746	subject8746	13
204	subject204	10
5374	subject5374	9
8909	subject8909	9
9136	subject9136	15
9890	subject9890	10
8388	subject8388	14
4390	subject4390	10
6154	subject6154	2
6573	subject6573	14
7214	subject7214	14
3602	subject3602	13
5639	subject5639	5
964	subject964	11
4124	subject4124	6
570	subject570	12
1290	subject1290	7
6924	subject6924	1
6518	subject6518	5
6258	subject6258	5
1870	subject1870	12
7204	subject7204	14
8310	subject8310	11
2555	subject2555	9
922	subject922	7
1332	subject1332	5
7717	subject7717	14
2398	subject2398	10
3176	subject3176	7
7404	subject7404	8
7429	subject7429	6
3540	subject3540	4
8306	subject8306	15
4950	subject4950	6
2337	subject2337	7
5624	subject5624	6
9096	subject9096	5
5976	subject5976	10
6452	subject6452	1
4209	subject4209	15
3620	subject3620	10
8572	subject8572	9
3080	subject3080	3
7149	subject7149	3
4161	subject4161	5
3372	subject3372	2
6480	subject6480	1
3024	subject3024	5
7113	subject7113	13
5930	subject5930	12
1851	subject1851	5
4078	subject4078	3
2378	subject2378	2
9285	subject9285	6
7588	subject7588	11
1377	subject1377	14
634	subject634	5
7980	subject7980	7
2538	subject2538	8
6103	subject6103	7
1320	subject1320	5
5675	subject5675	2
6213	subject6213	4
1407	subject1407	15
2615	subject2615	14
7021	subject7021	8
1887	subject1887	14
4298	subject4298	15
2368	subject2368	5
3524	subject3524	8
1741	subject1741	7
145	subject145	3
4772	subject4772	5
3527	subject3527	8
2005	subject2005	5
4583	subject4583	2
3575	subject3575	5
4343	subject4343	7
2698	subject2698	10
2521	subject2521	10
1321	subject1321	7
6248	subject6248	5
1150	subject1150	1
389	subject389	10
8870	subject8870	2
7323	subject7323	8
1929	subject1929	4
5524	subject5524	7
1296	subject1296	13
4911	subject4911	5
9635	subject9635	5
6954	subject6954	10
6635	subject6635	3
8398	subject8398	3
2645	subject2645	1
1330	subject1330	5
829	subject829	9
5483	subject5483	4
352	subject352	7
8587	subject8587	1
7750	subject7750	1
2428	subject2428	3
9018	subject9018	1
4653	subject4653	10
5493	subject5493	10
7684	subject7684	15
4398	subject4398	11
9579	subject9579	3
8820	subject8820	3
7351	subject7351	3
6234	subject6234	6
4302	subject4302	1
2930	subject2930	5
6717	subject6717	13
8471	subject8471	3
3858	subject3858	15
