subjects	cluster.id
1769	subject1769	1
6779	subject6779	5
2086	subject2086	1
5177	subject5177	1
9102	subject9102	1
9390	subject9390	1
4576	subject4576	1
2206	subject2206	1
350	subject350	1
9932	subject9932	3
7072	subject7072	1
9154	subject9154	1
752	subject752	5
1346	subject1346	1
9897	subject9897	5
2382	subject2382	1
8310	subject8310	2
3347	subject3347	5
3880	subject3880	5
563	subject563	1
2468	subject2468	5
9919	subject9919	3
5770	subject5770	3
7000	subject7000	1
1046	subject1046	3
6923	subject6923	1
1777	subject1777	5
6978	subject6978	1
1746	subject1746	1
7573	subject7573	3
7904	subject7904	1
2326	subject2326	5
7093	subject7093	5
7443	subject7443	1
274	subject274	3
9476	subject9476	3
4884	subject4884	1
6049	subject6049	1
5824	subject5824	5
255	subject255	1
3485	subject3485	1
9759	subject9759	3
648	subject648	5
6103	subject6103	1
435	subject435	4
8614	subject8614	1
1139	subject1139	5
9751	subject9751	5
7852	subject7852	4
5341	subject5341	5
3592	subject3592	2
7792	subject7792	4
326	subject326	1
7164	subject7164	3
4847	subject4847	3
1206	subject1206	1
9771	subject9771	5
7129	subject7129	5
5230	subject5230	1
2635	subject2635	5
8256	subject8256	1
3612	subject3612	1
9499	subject9499	1
6079	subject6079	5
6300	subject6300	4
6436	subject6436	5
2637	subject2637	1
3745	subject3745	2
5592	subject5592	2
5466	subject5466	4
6557	subject6557	2
6696	subject6696	5
3595	subject3595	2
887	subject887	1
4375	subject4375	1
2493	subject2493	4
5985	subject5985	1
402	subject402	1
6700	subject6700	1
403	subject403	1
2963	subject2963	2
2543	subject2543	1
6200	subject6200	5
2114	subject2114	4
617	subject617	5
875	subject875	5
6496	subject6496	4
9156	subject9156	4
4098	subject4098	1
6382	subject6382	2
2443	subject2443	3
7541	subject7541	3
7042	subject7042	2
115	subject115	5
6772	subject6772	5
1312	subject1312	5
3493	subject3493	5
3753	subject3753	3
8889	subject8889	2
606	subject606	5
6152	subject6152	1
8227	subject8227	3
9882	subject9882	5
3787	subject3787	1
9965	subject9965	4
5983	subject5983	4
8659	subject8659	1
7812	subject7812	4
4923	subject4923	2
2214	subject2214	5
6068	subject6068	2
4591	subject4591	2
1030	subject1030	3
3513	subject3513	1
5149	subject5149	5
6535	subject6535	2
7268	subject7268	2
1743	subject1743	3
8938	subject8938	4
8201	subject8201	1
8896	subject8896	5
9562	subject9562	5
3224	subject3224	5
6767	subject6767	4
8965	subject8965	1
522	subject522	3
7046	subject7046	3
8831	subject8831	1
8813	subject8813	5
3495	subject3495	4
4281	subject4281	4
4897	subject4897	1
7556	subject7556	1
8797	subject8797	5
3906	subject3906	1
2557	subject2557	3
781	subject781	5
5003	subject5003	5
3021	subject3021	2
9729	subject9729	1
6723	subject6723	5
4502	subject4502	4
9502	subject9502	3
1544	subject1544	1
978	subject978	5
9645	subject9645	3
6217	subject6217	1
1938	subject1938	3
9673	subject9673	4
6394	subject6394	3
6414	subject6414	4
