ACACA	ACVRL1	AKT1	AKT1S1	ANXA1	AR	ARAF	ASNS	ATM	BAD	BAK1	BAP1	BAX	BCL2	BCL2L1	BCL2L11	BECN1	BID	BRAF	BRCA2	CASP7	CAV1	CCNB1	CCND1	CCNE1	CCNE2	CDH1	CDH2	CDH3	CDKN1A	CDKN1B	CHEK1	CHEK2	CLDN7	COL6A1	CTNNB1	DIRAS3	DVL3	EEF2	EEF2K	EGFR	EIF4E	EIF4EBP1	EIF4G1	ERBB2	ERBB3	ERRFI1	ESR1	ETS1	FASN	FN1	FOXM1	FOXO3	G6PD	GAB2	GAPDH	GATA3	GSK3A	HSPA1A	IGFBP2	IRS1	ITGA2	JUN	KDR	KIT	LCK	MAP2K1	MAPK1	MAPK14	MAPK9	MET	MRE11A	MYC	MYH11	NDRG1	NF2	NFKB1	NOTCH1	NRAS	NRG1	PARK7	PCNA	PDCD4	PDK1	PEA15	PGR	PIK3R1	PRDX1	PREX1	PRKAA1	PRKCD	PTEN	PXN	RAB25	RAD50	RAD51	RAF1	RB1	RBM15	RPS6	RPS6KA1	RPS6KB1	SERPINE1	SFRS1	SHC1	SMAD1	SMAD3	SMAD4	SQSTM1	SRC	STAT3	STAT5A	STK11	STMN1	SYK	TGM2	TP53	TP53BP1	TSC1	TSC2	TUBA1B	VHL	WWTR1	XBP1	XRCC1	XRCC5	YAP1	YBX1	YWHAB	YWHAE	YWHAZ
subject6941	-0.690413925360336	4.39400795738895	0.227588689759896	1.71582222301075	0.464014915728616	4.0527385906653	1.0301388474011	-1.9796108944581	0.619678520834977	3.73759515074374	1.25717594286194	0.576585471832385	0.124700097338269	0.609532597250213	2.34165209012056	-0.458824217500063	-0.44762850893063	0.501550978266624	2.62409174121636	-0.140422053326	0.959391933631353	2.01636810268846	-0.641031592606052	0.64403498067422	-0.416424042180307	2.21855379383893	1.97038930342091	1.36247737118122	3.63340269611619	0.910842951624576	-0.025216364976576	-2.39459994831747	-0.183948893859179	4.43529209340049	0.526475535490908	3.07926623298458	3.382147227069	0.397822479194087	-0.676552473620084	0.454681894218061	2.13204322740797	-0.0947024828990416	-0.0210362335979445	-0.508570608009211	3.53296677371997	0.415583314660509	-0.893574327883695	4.45293317142879	-0.0899370890543548	-1.39104745655051	1.32873802163078	-1.96281722060735	2.11313406564139	-1.48274665924587	3.87080691107436	-0.582275784384831	-3.48863682976199	2.34915366916589	-1.27545621811314	3.08322553549371	-0.369066912894712	-1.37439254090076	2.50100088797468	4.44717298367954	-2.05941946870631	-2.05497071120116	-1.01705550877345	2.93792659975753	-0.567639309920952	1.02077211597281	1.40715442024683	-0.148774185589255	1.25555741064969	6.86587682489352	0.391117957738562	0.472457532770707	1.11440496490352	1.13442990327463	0.0911201365002497	-0.101673321726219	2.41084948672272	1.70916216449714	0.769399774044948	-0.766710154096858	0.335681478727735	3.26520271619138	1.33242801533212	-1.00645058217131	1.38545749555328	-0.268071942422958	0.95988759125948	4.79443211320437	-0.0976568385909976	3.97864589832487	2.92795447318758	-1.76565470362025	0.925323313726202	2.36407560504829	-1.35366277474953	0.954483718061202	2.78976906248094	-1.11975172480143	0.306798251554325	-0.418500468317628	1.68147958692336	1.53886792199147	1.18800236285763	2.11510386342448	0.214143972168029	-0.319422183106426	0.702209009016428	1.84148015857091	-0.427451925220299	2.33120374002991	5.63975460876696	2.43820365284965	2.76491191080032	2.64482224732033	1.28823561748348	-0.525868201515516	1.82970870478238	2.64491901695672	3.44176428940206	2.48714827676499	2.47348455209289	3.0237951430169	0.738783339069477	2.93879845122228	-0.475172232074824	3.02276372289599	1.1940701791198
subject349	-0.688585123072212	4.3409945799102	1.75904790738207	1.64984846967906	0.731599238099789	3.48430592153926	0.327031749758119	-0.433978066612435	-1.6885892716048	0.44835941405825	1.46209261993076	-1.21453720179295	0.0661757768975878	3.74414396167333	3.3927943839133	-0.231533135531638	0.72152490002672	0.970554280718268	3.71366131657933	-1.00517823327498	1.32443956493364	1.5973201673996	-0.338973474011656	1.36727279375253	0.0492404360027616	1.52874737809355	4.23886212882325	0.88470577668994	3.85337865760663	0.289794580656704	-0.298432671564137	-0.038101236157755	2.71394555840814	3.39087693476001	3.68722311470137	1.74356131265447	4.79501587949031	3.34137621407538	-0.394988422600853	-0.266280949241416	0.453058984493224	0.687043266448132	2.5895212619733	-0.187442444738498	4.13277685047074	3.78580737359077	0.0479321799000139	3.11654509428678	0.891783590564024	-0.130874503961724	4.41956843686069	-2.18469018682288	0.0401429866110212	0.374673725413951	4.41834647264171	1.63845589022637	-4.199333533275	-0.151693501770794	2.83935970773562	0.00120445971477845	0.263766450964623	-0.477193573095205	1.64932397414575	3.52261981741825	-2.5057943219516	-2.48429996941749	3.24951119605118	0.290787879914078	0.300959624352994	3.7447790458896	-0.64560840048359	2.01984991048752	-0.741876668339944	4.71398732857828	4.53897226042367	-0.305972071416305	1.89831855769524	-0.964247176580983	3.51238823715097	-1.23946279803955	0.625592561270044	0.512184580965685	1.01602105755906	2.47964440376131	5.07882441553278	-1.17237140615005	0.443229528543654	1.79046403610553	2.16314465969754	-0.910889732368663	3.93249230085258	2.30981573491837	1.89859625562599	3.77756819604462	0.467855196196776	-0.898593126578279	-0.0996567617988602	2.78579870941084	0.381701231245176	1.6147058441835	2.72432302062031	1.06662889159612	-1.09707844722525	-0.505710874461754	2.02940863771207	1.38321459538427	-0.70709065608618	4.19853875471709	3.93737163244091	-0.0590196153401887	2.32705134509149	0.0790882773571708	-0.375247196430205	1.63679348573537	2.97580898017706	3.18960914713972	2.30519200954775	3.2846578180409	-0.89345622992944	2.24814990850828	1.5223967690233	-0.799750023576905	3.59912094570389	3.47436457371245	-0.436402908297045	0.520676968165562	0.829950128396505	2.2133020598262	0.718014430723198	3.07522501342315	1.44151457900353
subject697	-1.32280981707333	4.08822656929201	-0.991039864030827	1.22014130346497	0.324350864774765	1.06976856777916	-0.202053042107483	-1.76855164918979	0.813847009626439	3.65543652451146	0.316029533711411	-1.05498986897358	0.576434219229271	2.21917212721072	1.06181681320244	1.70344608115658	2.4476602922814	0.862067116533361	2.44143040151121	3.10088635947307	3.86111465210598	-0.092391178226191	-0.79996171554343	0.506211114026328	2.29545165704637	-0.624086008179929	4.01885960625899	3.91960088417502	0.459873235282065	0.277510187629607	0.738283962096236	-2.52026796825715	2.91614610734282	2.2908660689063	0.934101652446641	3.45903166943296	3.76406352584358	0.690900400825163	-1.11800336929514	-0.908897164960839	-0.251143428110558	-0.0702174166181775	-1.38978541710544	1.9973034064617	4.05935975925854	2.10200800070815	-0.017821176058898	2.41082757527636	-0.184098763481876	-2.22555140330881	0.56764837155933	-1.92636274074463	0.618301670533153	0.917725901049	2.56899858650544	-0.784200848595955	-4.47590298486669	-0.0873393020560154	1.80750512801074	1.89153617912315	1.66325422619145	2.11652914310527	1.85160571139825	2.97761879837424	0.0809786336385256	-3.02192486745077	2.14552689748834	-0.131146131840196	-0.322166933111751	0.946988592505827	1.46629311764124	-0.136110655393823	1.19180951172905	4.21427163999604	3.24175779372262	2.60445821672734	3.19853925012243	1.92639962800241	2.39781167800824	-1.72945979084338	0.178720824763054	2.16576636218411	1.60907456023566	-1.80357780114848	2.22163745689355	-3.07831251117006	4.92284421159901	-0.786721009749934	-0.204799340677335	-1.50344030955776	0.113261885816201	2.44295166162472	-0.641823624092044	1.00360228673361	0.721834145987711	-2.05376497831654	0.44648149759689	2.12408564397291	-0.258179088280389	1.52504388724534	-0.170877322713948	1.44077154997733	-1.77853735193447	-0.349844521983431	2.07960996234949	3.30558880281624	-1.08815479786999	3.03823960442509	2.71343057134415	2.55932972683024	1.36083407798754	-1.13387639961616	1.90684466475322	2.12948974521303	6.4030103960358	2.73501489332142	-0.288024574059275	0.0947276494497251	0.995148382318346	2.33755042414364	1.98179761512114	1.78492838341443	2.19989577171034	3.41396391516553	2.61694322917725	0.815796406232703	2.16706618576533	-1.52529802183332	0.759092287060244	2.60949653937945	1.14794147435114
subject5744	1.79918074630525	3.61098275099969	1.19862935112861	1.99018315195648	-1.58983908582366	3.08472997789218	-0.738197810460623	-0.642031060243487	-0.561679531405359	0.974651141318584	0.7825316733497	-1.19635675295712	2.57100538675185	2.30941149143374	0.364130420765606	-0.419182496569485	-0.536344154311285	0.723258276947151	2.51911037535151	-0.0459976393473375	1.23772609458532	1.07184645646032	-0.678568042479657	1.38812759703263	-0.193501809456623	-1.03878050875975	3.46332700209132	0.052995935555489	3.89158433290507	0.908324952145858	0.901578718494516	-1.78005872667858	0.111420903876573	2.97763549027314	-1.4860703401063	0.71148655109197	2.58766891657284	0.0519572264715031	-1.69722770830077	2.28054074139023	-0.305594263466619	3.18710679401683	-1.11233251696196	-1.55402250894258	4.15151641401289	-1.00858193716939	0.138859421608938	3.29962411427063	-0.89078117061629	-2.49223116399952	-0.00488121651990969	-1.56171188845013	-0.0475733754825363	-1.76858245458364	1.79360313735872	1.1269445508217	-4.55478475590533	-0.382675927728739	2.11017992666416	2.32261895296177	0.867468520129884	0.939739186978821	2.28432229075944	3.94216053913807	-2.85574908556217	0.363356173812181	0.427806426470731	1.0916254161172	-0.562984607991454	0.0967546319822399	-2.63450604785826	0.153459665984738	0.621164397734327	3.16052643049482	-0.742696169451645	2.2433465882721	3.88273358974014	-2.28014706645844	-0.594688664847703	2.06050692634815	0.222865172617759	2.05972606244221	4.0500629092744	-0.550704105010915	2.26697613375495	0.306994078255265	0.408191427891464	-0.280905384913665	0.908354343613369	-1.83447510383588	2.75880676300751	3.86129977482735	-1.02402987513583	-4.20177774762243	0.332731072947913	1.85066384885989	2.87598788933775	2.36977571583126	-1.31954608863439	2.8312208498595	-0.0449907706963739	1.03994529919172	-0.720068282767361	1.8588034198517	-1.03484008301846	5.10952834202832	1.77285446469796	4.42174077243432	1.91335158057924	-0.457861230115687	0.911714861971873	-1.01480214587892	-0.364916452911203	2.02252942834616	6.8703280364062	1.74736085347977	2.96926283821411	0.224776595075938	-0.648441984247565	1.77725641975201	2.34540729770979	2.40614962853928	1.92867654110718	-0.631447344190435	-0.352998268505099	3.08296371929372	3.03306975045397	-0.300701881379307	2.24280693265399	3.72869380948535	0.280451524476837
subject2104	-1.01403636791327	4.50550758703689	1.23140814058658	2.27598203141218	-1.52818358967309	2.3413918286027	-0.736745203206094	-2.18298631041858	-0.195680479240859	1.39522651425892	2.65147150484942	-1.2983048096522	0.374313984878265	1.71360700329386	2.94237798560224	-0.226603385191923	-0.279481026611863	0.68154638504753	3.1970213394853	0.0716488616085519	1.6788870312163	-0.553608055602591	1.18174223522526	-1.16064565612451	0.606870647217231	0.490062245403973	2.32555774446819	-0.488595579583341	1.24693885844668	-0.595074400440832	-0.549589889421986	0.267909081339045	3.03599036308274	3.2308824017042	0.70727201845345	-0.441896787311674	3.92639687588429	2.64401704071992	-1.27517012990567	0.983847731893278	-1.65616214274647	0.0780064277434624	2.10174857744135	-0.992314244006684	3.9535666676013	3.43580145466318	-2.82065736354019	4.975485154583	0.171523516308352	-0.19118193051925	0.337529752349341	-1.01890258381506	0.396345207834922	1.11667878332311	4.37926193611473	0.686741255630533	-2.04775689241794	0.900357475442613	4.12889508500231	-0.63734708889005	-2.09803373537611	-2.36926292473414	0.521816817577536	1.13466002806495	-1.86711448282189	-0.550957990586865	3.01432758217898	-0.505360409020264	0.320231550679114	1.85254431424095	-1.47605792265174	2.45719746289168	-0.329129784754137	3.32759238634392	1.21819588801172	-0.414260303147222	2.18860741738808	-1.84236607168432	3.06275467959869	-2.48654849302234	0.248879855135264	1.30019644331092	1.17958780035818	0.672093328473122	4.31617684977165	-0.373751565614321	-0.17281574052488	2.25254781699949	2.25657626211606	-0.392712656852469	3.55645006221434	1.14632913419822	1.65818666915229	4.2836179151072	0.152305293188701	-0.795686141141676	-0.720124535356682	2.89590551338052	1.61151283623666	1.71228338928879	3.43092456683846	0.536311915162889	-2.84608838163459	-1.35162038040599	1.88402580215601	2.24015283493558	0.0865393238560136	2.56565518352113	2.85599915108924	0.490553953780839	1.11617326118488	1.1434296724445	0.0011734216146469	1.83525908884469	2.25540897966233	0.32669406248736	4.0130052898097	2.03180327385684	-0.897373590580306	2.01657753015535	1.61877161848098	0.313786140738601	2.31407490569767	3.76988935597664	-0.0683924071536657	0.536702692280114	0.193851053707681	2.97921060063866	0.176775817876995	3.90602428813471	0.422451674291227
subject3225	-1.01527999951881	3.53974545581667	1.07964151542464	1.60901841281346	0.709929111125877	2.91574806227007	-0.696690745496226	-0.986677855350836	-0.236485660889469	0.428750344223996	-0.448014852821458	-1.72232325860098	-1.05857402634168	2.406414111614	3.42966726540581	0.296291572483498	-0.163798538646416	-0.27760597691334	2.75570724807548	-0.117325821665739	0.280897122254882	1.50663971521996	0.659227305310968	2.52240267725849	0.284922964301135	0.273465380298803	4.04191724305386	7.211214321349	2.75297796728977	-0.15094592174936	0.973922611782579	0.512336857657092	1.87571843116018	3.0823318457001	2.73228816761247	0.452945883565472	3.81311687596941	2.65713044198942	-0.401169377524112	0.355746304229824	-0.789300893101346	0.639546131884511	2.7862878556335	-0.598763297573657	3.68680865349905	2.12036194423194	-1.72562139709133	4.54968254958523	-0.831053693407009	0.675966310907592	2.11638342746814	-2.46192115692943	0.307825083589074	0.355098352277435	4.37552633261276	2.29944769272906	-5.41594423302687	0.170963594295073	2.60607703871619	0.485553115083458	-0.536489063910308	-0.695054274589275	1.99712422551795	1.65439133455167	-1.74804800452828	-2.92265756389845	1.99857327715771	-0.806450450226418	-1.30494564007352	1.64181494776709	-0.816292093845188	2.5940274599809	0.496259350069534	3.90088108918237	1.13076003306198	-0.504318852095929	2.04959200257899	-2.11219003853952	1.85824345826494	0.717628340406402	-0.174446366112047	1.66770157233303	1.62398849605443	-0.176012496916751	4.5484276746141	-0.113986456547811	1.36723562063368	1.39341615528532	1.37626985529744	-1.55313374435924	3.27227461413916	1.03431904535943	1.96552565861565	2.53375689283033	1.02267454644031	-2.39481141830588	0.349050919083217	1.87197237565411	1.38244447556555	1.60159365891076	2.01151025115195	1.25341729178994	-2.11588237393911	0.228981366514183	1.98396172117369	0.847156244550096	-1.02364040141087	3.167317150347	3.05272791335752	-0.437796006606434	0.815413967858121	-1.53311210254984	-0.378425639352677	1.59274302231559	4.36517405002226	1.92866422853989	2.64156485894819	3.11389778575883	-0.196884220001479	3.11147610221802	1.10904562139342	0.640059489343323	2.97598724337326	1.8989875325243	1.0930404528226	0.962197065615218	0.967079990407312	2.14246678349611	0.364292006606895	2.8319996625084	0.299540905263609
subject4081	1.5343409024454	1.09828411671333	-1.05091892707656	1.66904202295234	2.08242608223966	5.0535568167223	0.401929671356607	1.78348575714522	1.20577481534361	3.42612006464046	0.348911511952115	1.56304197683899	-0.723854467396585	3.43197702701294	2.90528976065564	-0.725030864875007	2.32688981461896	0.329684658201902	3.75146142274118	0.475306078985939	0.964444373936001	-0.149297536862526	-1.85258606730298	-1.17130496477135	0.629171088933516	1.47339705573927	4.62899904978777	0.330328977866748	-0.639687892471674	0.371724183011293	2.69823919351522	-2.12144643825284	2.2312490118968	3.95434129317283	-1.21223888122296	2.43875038685401	3.93324539234097	3.12317023219523	-1.8488116748617	0.706402521415635	-1.05214300343966	-0.0395648431653408	-0.213008513761805	-0.558222166528088	4.1627196301511	0.0574606507026606	-3.27805090491803	5.1688793436081	1.32966925751491	-2.53980276763867	-3.00399584612269	0.38134710876473	-0.248205241601838	-2.48259332339424	4.00406584011429	-0.480698399982722	-4.68045783778629	-0.32496066469587	1.23234016976974	3.8975334375782	-0.573951815455631	-1.50919557231324	3.19703822945553	1.68942245015864	-1.47113678854131	-3.89341827370631	0.0110397666052261	-0.855277232512551	-0.743966157865021	0.434934732962033	0.400771207519081	0.571478848070808	3.14882969311413	2.33863746478672	3.54969727456133	-1.03456515384871	1.16789877621107	-2.39884658324034	2.45640586790953	-0.898098299538622	3.25727677283024	1.36687325745307	4.70975650210068	1.0689299497179	3.00734746791162	-0.270518185733048	3.52740645150958	2.17819628708686	1.18929664823274	1.08484271448078	1.10416371800076	3.56050370075155	-0.773751806370762	3.75349569979346	3.99806536039766	-1.23592628342644	0.00396987683219428	1.93361315530429	-1.10006049969125	4.41756757660815	2.04080909248312	-1.31857318897751	-1.8228885086659	-0.132130752294031	-0.924125570726185	4.18415118506493	-1.13351591820069	1.05823041319601	0.860574127541516	-0.96345236198529	1.43579615952748	-0.227903156188155	1.84627733762113	1.1261394624941	4.93694710163825	-2.65378799247823	-1.35444467442162	0.152415869011775	1.72143210858614	0.3116978483121	1.08489641051645	-0.139146091771113	3.16423247449911	-0.876746064880222	0.322562231570395	1.0942248905909	3.76116694024205	0.115546450923696	2.46177704835082	3.39621722785584	4.31442793689914
subject9450	-1.04604170646056	1.67120819153374	1.19896071255951	-1.30193359320225	3.6527684349964	0.946372017987259	-1.06223833230882	2.20174577765798	1.83266913298854	2.7959726532324	4.66492652682245	1.28037673716313	2.04305606055077	0.789980280442277	0.892549667160211	3.067824600935	-0.0668991851870556	1.65798760706243	3.80845995706978	0.153925455120932	1.14496721607198	0.331843229401484	1.41451284884174	1.37955773571525	2.28394435671967	-0.0924868611420822	1.74372239737982	-1.67587707471302	1.2730413621499	3.0559713913297	-0.920947045104135	0.661103527258624	0.550750516355133	4.13094928047131	1.62264114943315	0.498062801771655	6.29375699410152	3.22209173328374	1.03985577496592	0.0254094669591818	-0.382031387217402	2.81749592913875	2.72075852710478	-0.111618947483554	5.1896590271675	4.80879029370053	0.537013765446471	3.42944104109987	3.44734139166813	-1.97478400622506	-0.0498896321223867	1.05858308577167	0.10987947288547	-1.74031259655125	0.9367908286428	-1.00998736515841	-1.75128051061618	0.790585965064073	2.97698304499625	1.97244790250899	-1.42388707714136	0.591966986779079	5.50156998356852	1.71814052648963	-0.313987892864299	-2.26574442566283	0.103897723752562	2.20246009942645	2.5051896037182	2.49906623970296	0.321955070372658	3.0133030199258	-2.43722457004717	4.94098720183626	4.98007893302034	0.250965515488943	3.60546661862544	-0.643221179536759	0.424611869211426	1.28505579141363	-0.236924706610511	0.934017026102653	-0.434433107261467	1.47815008567264	4.22917782133548	-1.5804469728491	0.723291657056285	-0.86160632742917	1.95107423435534	-0.892511547814791	4.6162375772837	2.94112773902556	0.171062443979093	5.33026525790584	0.297694389118778	-0.368553556373813	0.0306911691425238	1.96437714097608	0.33984934438709	0.72456293588631	2.91245779889117	-1.52890047139998	-0.0996367944162695	1.54607066488005	2.15149511063419	3.39193902654317	-0.352744632673314	-0.942643691349961	3.91138365252673	2.80133974308394	0.0906455096110043	2.08568981505177	0.842203849328997	-1.06006822553379	4.26536823646249	-0.329313833174297	-2.35508747751414	0.64632523932421	-0.810925896384301	-0.301332221893437	-0.923662874321391	2.61592272513169	-0.488629075815185	0.936018135298838	0.556220005403424	2.79529757589565	3.50885787109779	0.373111868153043	0.329239216908659	2.21929474559203	1.35815165408308
subject8281	-0.418341183646967	1.07807709430655	2.18774712484176	-0.935900986860356	3.97649897687376	3.74876332460389	-0.470422123432891	1.49918774927908	1.78664729415823	3.42865048617041	3.13707765293393	1.70002672020787	1.42209602991751	3.0440410564073	0.24122951546129	2.67343632727141	-0.459592340731199	1.06390335589463	4.15455065660457	-1.88492404416428	1.05458502115711	1.25493574643355	0.129000426000813	0.723604651985212	-1.2648427482198	-2.02568718391287	0.68944440961779	0.978187637269159	2.58841063067855	2.20221724178121	-0.245506703818986	1.48400502257188	-1.15108434043913	4.0289205822497	0.121020685035672	1.41184343683225	6.5039155179919	3.60054713608639	1.21435882660861	0.314891475094599	-1.17109412832241	3.0950974994633	1.39383127436733	-0.0498917877421736	4.35129106525078	3.10641041663748	-1.31948331653403	4.9411427177566	1.63675494533883	-1.60774939324347	-0.640810016460358	0.800802039603766	-0.283961305021716	-1.93537281437617	1.80533019447633	-0.75240852858808	-1.80037376403549	0.0232336267389651	5.9210802575572	1.66483010575391	-0.173675140432707	-0.000832805568452444	3.78154865737282	2.81607069904655	2.2858329322243	-2.08159019151658	0.61328685436365	1.56963819023067	2.27506950363614	1.6282517685004	1.36566808203821	3.08709098477008	-0.481970481885955	4.27633906439864	1.94193459058286	-0.915740622423275	3.69848931555208	-1.80321673230535	0.272798207773397	1.81418821776658	1.26737073046602	0.872040802093361	1.12311989982183	0.594735619132008	4.77628929417993	-0.398726927485371	2.73055971314567	0.639732156674333	1.92617611180472	-0.888571571798846	3.32359280546239	3.14716226876483	-0.434086981978108	0.0848595967220851	0.724108783061208	-0.803252147841856	0.580514826956942	1.24996290261839	-0.655242538153195	1.06374859881834	2.78865828988735	-2.00585519681329	-1.39334133614302	2.09762309264514	2.19882145418601	4.26745057575748	0.524946477021215	0.330873373965239	3.06866946199035	2.77727952585872	0.484469267931172	2.39130667577318	-0.164117613365666	-1.36002054004699	5.42020340613896	-1.13921732562034	1.45072384551033	0.564806521931227	0.0235114100376715	0.581071099011124	-0.722782147197535	2.33221513970069	1.31778680789659	-2.41414797208946	-0.636485909805789	2.87380457149585	4.94316136607488	1.08396580711389	0.222093401923191	3.44297698247455	0.365178663168427
subject9929	-0.812509168716211	3.57459090385536	-0.561848657443861	0.850986490699584	0.194980738490039	2.65492634607694	-1.67569025070102	-1.6946504827877	1.74587028805578	2.6743706271982	1.71050877615018	-0.924481400474635	-0.469659421018571	1.60504523922521	2.86160357258502	0.439849132430199	-0.546881222493525	0.468330967532793	3.39445536350412	0.307026506262408	0.726155727482853	-1.24391384451085	-0.349451770002293	0.82200636207095	0.928793140448057	1.07518371713978	3.56874290602759	1.64142393992546	4.88556699831221	-1.66696182436295	0.38539382846807	-0.401544501761466	0.539612701446263	5.07533185854055	-0.483650324754283	2.51842999813777	4.51890963182938	0.443029557933878	-1.50472892813473	0.679807869720824	4.03488843200726	-0.197116423931742	-0.430561724311374	-0.114487970073364	4.04181700692348	1.27825162863817	0.297450545211652	3.60102426171793	-0.0776258026316168	-1.67552924624356	-0.670537058388712	-1.35074562596358	2.92242386640511	-1.73459568115131	3.85705237224334	-1.62065584892899	-3.51490613694166	2.71502547628816	2.60169348815954	2.95781921831572	-0.0303418139403163	-1.29793404519571	3.81340390891545	3.75928034175397	1.2950528063648	-1.39968060176276	-0.167605087516995	1.4295263770092	-0.0105713308593566	-1.21429568343306	1.64456278055049	0.461648549254547	0.514460193290753	6.11323052062945	-0.707192432881563	0.145851499234012	2.21384801000282	0.506727881609806	-1.68565246209647	-1.93501772004928	3.42534894988296	1.26954932301572	0.342003517052448	-1.58678913265073	1.15163497565518	3.05951422374342	-0.0257779245004967	-0.364120335839059	2.75763703212892	-0.0404220177807016	0.674897515126936	2.42218011932301	-0.335528592506841	6.47957141907474	2.34503297136641	-1.06859918717272	0.177001855815106	0.874006541536983	-1.42888400202977	0.0077082216077109	2.66748392178874	-1.1423395885333	-3.28585955966382	-0.294918320304384	2.02391324703137	2.89501809946582	2.54809366998621	1.54077082883689	0.0800685205180948	-0.380679049590711	0.28075477753924	1.69604854010086	-0.782908054988148	3.15958385086966	5.90131642665724	2.15918255389624	0.641118716060402	2.93375253161624	2.26495330540785	-1.04721444850222	2.70051362490093	4.41405277498931	2.94066797403042	1.68682515831264	2.70974384168719	2.96852972065725	1.6743855234573	2.62125086738696	0.747537837395106	2.29405764136072	0.212559134498782
