ACACA	ACVRL1	AKT1	AKT1S1	ANXA1	AR	ARAF	ASNS	ATM	BAD	BAK1	BAP1	BAX	BCL2	BCL2L1	BCL2L11	BECN1	BID	BRAF	BRCA2	CASP7	CAV1	CCNB1	CCND1	CCNE1	CCNE2	CDH1	CDH2	CDH3	CDKN1A	CDKN1B	CHEK1	CHEK2	CLDN7	COL6A1	CTNNB1	DIRAS3	DVL3	EEF2	EEF2K	EGFR	EIF4E	EIF4EBP1	EIF4G1	ERBB2	ERBB3	ERRFI1	ESR1	ETS1	FASN	FN1	FOXM1	FOXO3	G6PD	GAB2	GAPDH	GATA3	GSK3A	HSPA1A	IGFBP2	IRS1	ITGA2	JUN	KDR	KIT	LCK	MAP2K1	MAPK1	MAPK14	MAPK9	MET	MRE11A	MYC	MYH11	NDRG1	NF2	NFKB1	NOTCH1	NRAS	NRG1	PARK7	PCNA	PDCD4	PDK1	PEA15	PGR	PIK3R1	PRDX1	PREX1	PRKAA1	PRKCD	PTEN	PXN	RAB25	RAD50	RAD51	RAF1	RB1	RBM15	RPS6	RPS6KA1	RPS6KB1	SERPINE1	SFRS1	SHC1	SMAD1	SMAD3	SMAD4	SQSTM1	SRC	STAT3	STAT5A	STK11	STMN1	SYK	TGM2	TP53	TP53BP1	TSC1	TSC2	TUBA1B	VHL	WWTR1	XBP1	XRCC1	XRCC5	YAP1	YBX1	YWHAB	YWHAE	YWHAZ
subject3000	-0.41898564705289	1.42976928041929	-1.33025968489487	0.580905230034925	0.352751380249418	5.18984365873455	-1.46921292583026	2.1974927489207	3.42679277904686	2.77952214007616	-0.47781338715039	1.2079026793054	-1.33020545419414	2.60707584058219	-0.30293455024782	0.26395726041962	2.73594880866096	-0.260633717141402	3.41218313541968	3.0623085901994	0.764453551959261	-0.837211892630332	0.741933978978144	0.0849928570668238	-1.46829977368418	0.740562079361697	4.13258179586462	3.2329397883634	2.59081582625363	1.97453347444914	1.95828397119507	0.451971194591844	2.13688171397677	5.72610834629101	-0.412483585232675	0.150451045443118	6.63478715065012	0.17831220323753	-0.541344909276314	1.8785428673989	2.68636204245007	0.275712641797085	2.33080466808396	-1.66960616069087	5.81186246902471	0.476050679644597	-0.889484494671216	5.12518913961679	-1.69738695247913	0.953915181052921	-3.09719008270277	-0.119478413369543	1.82967880464283	-2.54064281950778	3.54722925432719	0.0346062908635458	-1.35699112076744	0.0599311856889412	-0.367912515378062	-0.388431803555097	-0.1212041854453	0.526325415551038	1.28206563581653	1.52913266583682	1.44906782387155	-4.48171069955711	2.23857694468676	-1.7944597223938	-1.03702812649258	1.46071214452739	-2.19184252263839	-0.0829097192115331	-0.848060265622886	3.10997889016367	-1.17967511916738	2.28399724907105	1.26947877477589	-1.87716697944636	1.90713588364031	-2.15593681587324	0.689880891026731	0.228660912821727	1.28853032926832	0.244333617420273	3.86803515996002	0.959133002836034	4.00214098296148	-1.04742551744121	-1.72565564232369	1.85458656522875	1.19636055321628	2.14513391930434	-0.0344019785713972	4.35100714559329	-0.14814293053129	-1.80532885027469	0.0456574705035619	1.31699429419477	1.16277636007569	3.15484830318843	-1.0106293487032	1.98567093554749	-0.122870195132967	2.69735193216717	1.58386814795996	4.67716147846792	0.126526865280173	0.779672109201373	2.38221065618563	2.81940461601539	0.403967342946998	1.73766480854489	-0.643056731338332	-0.474904030106147	5.87110393585326	-2.04447637976892	2.62723727398756	0.485116591055787	2.0588985157729	2.530353298972	-0.576726325340061	3.14380869190059	0.506045261912227	-1.51500969433327	-0.453563906666467	0.377311922324611	1.19389536582458	0.257276651056742	0.437047484092632	2.71487365256628	2.91869515328924
subject5401	2.25864825145329	3.79008607185652	2.3293281922478	1.87444527303813	2.17642901954361	6.29332852182166	2.28707211096205	0.421697560624643	1.73338586622214	2.89547289131443	1.59304152578889	-0.762663555758694	1.53433627149958	3.11096979343671	1.01080442522199	0.384413946551128	-0.0816579218791081	1.4789614991435	3.99644335838648	1.60652310068705	-0.132797104207379	-0.287549800185571	0.461961670362338	1.99154088023705	0.898493757197095	-2.37216474196861	5.39056948104514	1.69940210851173	1.3033493681052	2.1620956319618	-0.155063283427934	-1.79733183284698	2.29607705818374	4.14559279381786	-0.841826318243064	-0.152679696153826	4.11535960406674	3.56942639705699	0.0178502180493332	1.09863528852297	-1.28930466237594	0.130185689295273	-0.779728027636902	-0.300106387899575	5.99364695234712	4.97797351164948	-0.651011430433144	5.0242203501581	-0.229237425013082	-0.775995984960388	-0.595753502633648	-2.03492049473779	0.848609676584644	-2.12059549482919	4.44158541639108	1.33716052931104	-3.91437990295439	1.12488036163647	2.92125751249106	1.20473427123088	2.32290651157102	-0.794279343215683	4.72423122395722	2.09065198461957	-1.36106223147575	-2.87808177443879	1.77156521138772	-1.05235730438389	-0.0530158721338904	-1.74888585682047	-1.78204390529686	0.104866458375169	1.65430163620521	4.93937742741913	-1.45072881989951	0.334683908770619	4.09048844343204	1.33948262130374	-1.0757241029295	-2.04240956382074	2.75648406953073	0.289466338920217	3.36430270743136	-1.83575597294908	4.1186943042608	4.27256478325567	3.58668870784294	2.03018718943144	-0.264262136256658	-1.28480659985274	4.16405613404946	1.90949819790428	2.36935441372023	1.58002090335614	1.08177935983996	-1.17930945688589	2.14067721046851	1.21915097232778	1.21056618898824	1.56054816867349	-0.0519786457777722	1.26065867600925	-2.24150597454596	1.89708428236228	1.54101648238366	4.6797164855196	-0.368091991055308	4.27520024492104	-0.229395737267165	2.76165182547781	1.36068400968151	0.369326860307211	0.381441778399073	1.90458088399916	5.95291411417259	-1.22000273229387	2.57612760734331	2.22755620827274	1.60887389951209	2.7509748800256	1.55266019593743	2.35349639946602	0.488681909985037	3.16555436841137	3.14872950663225	0.952168888170771	3.84812259736582	0.502446993592158	2.55245160992954	2.93062440207658	1.08821907395618
subject1012	-1.10892472408912	0.948673869652302	-0.762787459828863	0.999966450691881	-0.885616512484344	7.04616933660265	-1.35626753395025	0.353503097491902	1.37785317767448	3.18549252197369	0.338607795382926	1.28711570361775	0.412397623068546	5.62093058502454	1.12706214078086	-0.0654887391249855	2.35958365834173	0.0100629460175865	5.12394906118606	2.18565221216216	0.611251138063125	0.595362876957024	0.844374629005379	2.40720274159115	0.651427277426288	-0.278865609776931	5.31563627602051	1.25508888625341	3.12772765957039	-0.0202603661271472	2.92905950554386	0.0462148299878347	3.06505635678943	5.28868097200566	-1.60772948907496	1.17522063172049	4.63914756397115	0.328789025418994	-1.98761667488861	3.50565350826793	1.61523058028514	0.654786466398225	0.848856276827926	-1.17171072652885	4.37325783835298	0.715538681879029	-1.39273915522997	4.30872935904998	-1.4085119939632	-0.616364185805626	-2.54858252046489	0.0914018666369064	1.80659693426616	-2.223772067378	3.57820160694724	1.51633914473852	-2.56605653292537	-0.025448099324227	1.79421567524054	0.643926210523021	0.435226020479685	0.622786498738276	2.31471293005916	0.786401147460561	-1.77520029364164	-4.63002493013282	1.94418956194588	-0.740652972145168	-0.483479450262486	1.88354384983736	-1.04888512107516	0.310132442602396	0.832968034393885	3.12145561380989	-1.14383372045638	1.04050721720458	1.14152010208728	-2.72823077874228	4.86950600694565	-0.589179204992341	-0.104108173689528	1.36871445842891	2.64335929857886	2.57287332511224	5.76599568712248	0.968306965600817	4.60978675805558	0.182732796862248	-1.33122160911034	1.95582756940838	1.75709930625677	4.219048500386	-0.812801268681759	2.10901325650519	-0.18897885352578	-1.97658116655291	-0.100646972691357	1.85966601270582	1.68962331412169	5.19273700413466	0.361667848678283	0.94908759806384	-0.401799352030041	2.03607084821247	1.92415399939451	4.63591580925323	-0.814824735619517	2.69679970467882	2.52500456659337	2.59451152944978	0.506281484070624	1.53326459468123	-1.13475145491476	0.127267690519187	5.68141491014004	-1.87402673446478	3.18396078711389	0.178342438634493	1.33952571400942	3.32507948920215	-0.7857064458683	2.24239780967753	0.277805587503515	-0.451464516268541	-0.331136284527158	1.21509779072211	2.04099970710296	-0.361657176809602	-0.878063418559054	2.22523017476507	2.8569261845527
subject4744	2.10558699256184	1.04279460645657	-0.993121679701241	1.43693644928669	2.6583067588112	2.93901337277531	-1.02915323737083	-2.78352929309941	1.75531227930699	-0.456474699377796	0.0827987076946161	2.01997697116596	0.03639325213237	3.72103553222214	3.1942096228496	0.0712946048714072	2.28321055156003	0.779203007566757	3.66149851549755	-1.61393271762679	1.18228417222277	-0.712517555751316	-1.82314109070826	2.35181155832759	1.64176245598292	0.685633590062704	3.79874571101948	1.97741521633172	2.35764042776019	1.05014665398175	0.709410930492664	-2.0027627738678	3.01610554845538	2.04976165751935	0.0167029609614631	3.80202792352888	6.35470948834649	3.192015308435	-0.784253043675544	0.539870610308689	-0.370739869746028	3.18210107769367	0.992895231550673	-0.597147725806132	5.1348461434996	1.09099173833135	0.594189489420829	2.37712652663625	-0.361571128042854	0.870205130851795	-2.56894143976937	-1.21074222158513	2.45862508692294	-2.34978234274271	2.8322343843773	2.33620267913505	-1.50876298800311	2.78687184714646	1.61653445983576	3.16674762973872	0.859235847370979	0.341336789133675	0.70997081200358	1.51370479452974	-1.30753979887189	-2.66099486049141	0.634308286425038	-1.23657709344713	-0.514445024286274	-1.03645271634751	-0.673234850446792	0.179290640889448	1.19280043037169	5.22078045932246	0.051473941296381	-0.246865004028422	0.863946125983224	0.462335011990309	0.00644647841347409	0.928925267158148	0.43231765643725	2.28078471120087	2.72607556068584	-1.36217000133252	1.66526911782598	-0.272948589868082	3.20508178977117	-0.414339293630597	0.815724877217911	0.606153105932271	3.61676276274237	2.80261374097215	2.67877928356897	1.90756524356696	2.57064172141574	-0.589730279679416	2.75815803138123	2.17834934908506	-0.498985612760366	0.284550541962785	-0.359550330475495	-2.47319844163299	0.576001190563607	-0.466453607050189	1.7404211759425	1.43308923499893	-0.232935556450442	3.07950979505723	1.90859405571319	0.965888206983551	3.26720966016202	1.48957003191587	-0.673580822951294	2.86866565366626	4.88819761461256	0.750349230898904	-0.587342642222891	1.11848822949187	-0.035731701241852	0.321889911995547	1.8219370688411	-0.638588660461115	2.97497097791753	2.34492965497319	0.220917781451729	3.54223992222962	3.83573929903395	-1.0555994467956	-0.164247458204029	3.01746213195217	2.51580001755252
subject443	-1.04701754971006	4.50259931134055	0.200085854253884	2.18144267440432	0.210970190989011	2.22648396330201	1.24116283948985	-1.02658803488082	2.76784880403645	3.48457823266332	2.72674635589756	-0.768638407261801	2.74675486656876	2.00800893729255	0.867930875295771	-0.371085836484273	2.34180281299302	0.324344745856441	-0.34878928167425	-1.91754261846127	1.29285045550414	-1.039850671874	-0.0012636631185674	3.02176537374087	1.27665000534033	-2.79923128483232	1.93147175171478	2.80937766318845	1.89458358370246	1.5780903306986	-0.0360837805376835	0.082833052429699	1.61903949599572	2.68909188536256	0.939351824844308	4.16686884593409	4.70931135261184	3.20151879508793	2.58513824811766	-0.014501266149075	-0.112315392437864	2.24089322837858	-0.388337129527541	2.01061402734654	5.6644345235143	2.26066158564312	2.52655654293318	2.95227407010014	3.2234093936394	-2.14972903790178	0.584895822933581	0.142035597550218	-0.725356323023175	-1.90179767611234	3.29930197922929	0.37609811749193	-3.32153453467341	1.02379512234252	0.532855806616058	2.75422105187161	0.628033680684091	-1.82306428141137	2.42159155088546	5.14580229412427	-0.177153037232314	0.755973859236248	-0.20341382127734	1.46008907408445	-1.01145284434281	-0.590234527942595	-0.814922472812993	0.075479805178113	-2.1135355107691	6.43037125889196	2.82696204333619	-0.207145990786379	3.2471995418214	-1.63781973604851	-0.0773532059785008	1.08253832241545	0.035157102718394	0.756058412412644	1.52248584352523	-1.71833604018981	1.15257466225111	0.084770218063666	2.35975815672868	1.56395158678181	2.75657154893424	-1.01626485038359	1.34751416423173	3.22598145079233	0.334540090890646	0.900356925031279	0.390833656824804	0.596269827197105	-0.101645802799271	2.41267154447539	-1.20824227689931	3.75098016500899	0.705655623047849	-0.943421359578224	0.639284689234141	-0.369040762094412	1.83605093060094	3.26279039476193	0.176251126382306	2.6318634897243	2.68694243233682	3.95731754158041	0.755609318076957	2.04891225058309	2.17061670250449	-0.463341589451801	1.43194959577202	2.44337903427839	2.55900840625026	2.98067536536592	-0.0896638953314992	2.48991283738253	-0.485060029271047	1.87642633076887	3.44779770197689	1.79527908735348	0.75716224120149	3.21419678158037	3.80119631059355	-0.0191857214879656	0.330741905241783	2.56949028955593	0.0830798307839276
subject4158	1.982156251408	3.80657827257177	2.54117416556778	1.84149827196325	2.23811063052593	6.04805616015742	0.991115825226727	1.04371190428492	2.74160625028517	3.18565165928633	1.0544692265907	-0.699188366047651	2.12655416301521	0.693283517979976	0.848839261640131	-0.0264551245370075	-0.0468754434423412	1.96638923066659	3.0821155480774	2.59024735471627	0.958889007758006	0.2279387610965	1.18399294014092	3.82255950450366	-1.66689270439288	-1.33006874895061	3.71279683318767	-2.35169646530781	2.69492707171339	1.39500457970699	-0.883956398109709	-2.24305708578602	1.89172160138146	3.03205698440387	0.79235624151994	1.67676570152619	6.35242765621921	3.16977737925277	-0.335389537998274	0.178102188230393	-0.831923738238781	0.200087228274898	-0.987645251185385	-0.467979235585283	4.86977120514982	2.77196591841876	-0.116158340630114	5.33950235548337	-0.0776782792378163	-2.00839959382311	2.14839467193427	-1.33912701019294	0.23822393343622	-2.24155172123801	4.53218476382434	1.96201205266612	-5.15241118060175	-0.309835797450904	1.80675762143885	0.548482022023978	2.32973409969664	-0.93746153611512	4.17900965766276	2.52456663691644	1.07383975268603	-2.5248302199628	2.44020681900272	-1.09361611435557	-0.189288592922018	0.257961311243082	-1.28406491318145	0.0384356700269139	2.24257685333159	4.76164264430828	-0.09121439362162	0.27521012807533	3.39971545326589	0.803194654792417	-1.47695125103251	0.0515927080388301	3.55584901774586	0.49116041261985	4.01424571855034	-2.10263600264528	4.34212866195839	0.361479692081281	3.09195389300049	1.86943707517984	-0.699300067323022	-0.733495397473045	2.99368292509683	2.76420566623232	2.69447750238651	0.30517334434801	0.537744323364257	-1.46623932105294	2.7225405302782	2.52966698662806	1.35518099979596	0.434220965631836	0.837873780158312	1.57323059257363	-1.68154833911855	1.8805770280884	2.18027465113006	5.07417018140803	-0.134372335588103	3.9911623798567	0.404291624049404	3.85002502867025	1.2410937389679	-1.15805454711412	-0.0642970035061872	2.17923119366417	4.63230443400594	1.32230479550006	2.15480560136699	3.82816917634756	2.12831112597234	1.5504664560469	1.55877077664733	2.9935839364509	0.548379799217561	1.92654285616095	1.88238367171577	0.655410996920632	4.69167969064544	0.0277093017590684	3.65968330633775	2.66366993757169	1.18581551278187
subject371	-0.722126854291704	3.71952877422922	-0.816059252458329	1.23626779640256	0.582664243447472	6.49065162524396	1.24578515910054	-1.45509961310961	2.27210896215395	3.09296947936592	3.56957082542845	-1.06796676399885	2.7016083652815	3.24341574362858	0.505293441524893	-0.650593418251178	2.39752979229584	-0.296634165923196	0.606068995559556	-0.161164351592668	1.11896231828134	-2.2088289530835	0.798431053795325	1.27749063301026	3.2104478772712	-1.48702184924782	4.17571132925674	2.86596792849662	3.08747833408361	1.06601934052017	-0.141471526578862	1.43220489316382	2.97626178414351	3.47239552115116	-0.371873590895228	2.46708841752986	2.82018531941385	2.81644325877488	1.70511268785401	0.630896113046677	0.405149351670195	2.46875031280421	-0.800821211253555	1.85347326129058	5.0858613623416	2.83834590677088	1.44804461694959	4.95191847615687	1.88249717524775	-1.15735107969548	-2.69921061861853	1.36510483951064	-0.0977084107951773	-2.19912377048533	3.25320206716973	-1.16430558979539	-3.90793850820236	0.460961426346241	3.70011789128274	0.635503108801166	0.399728231687929	-0.949427518927735	1.16339537651434	4.34340066675445	1.1883912912041	1.4383955631884	-0.265201949401849	1.05760345729489	-0.263499433712849	-0.912207531114287	-1.41682142351466	0.374219302339217	-0.459687087715785	8.25960035004488	1.62493829798002	0.180824320212034	4.32396060879576	-0.676332945133556	-0.440792044168912	0.432190727415616	-0.0640648902896631	1.55898220350913	2.16142690240704	-1.41818909992363	0.794597538641391	2.76349146859836	0.57072222386832	2.03027697489044	3.12938098016513	-1.33161467598355	1.26046242980039	4.22781631288475	-0.188923405868055	0.846555333283724	0.00911287724929075	2.01407509701014	-0.550605537694133	1.4167356611639	-1.21107131219669	2.97219582294422	-0.0326653179355423	-0.881197043395017	-4.80128576722905	-0.0184228476032138	1.34852396059395	4.11846291876351	-1.11319322717615	3.72356770186486	1.52472667586863	2.95150097001767	0.636451999482154	2.59225904505876	1.42504992921931	-0.059290611806352	2.57850376934701	-0.701658110812951	4.00453189662364	2.86378305556879	-0.103662294550489	2.71767772222973	-0.755143931349264	2.27696984829789	1.27559629900315	1.41273816169773	0.339163378275188	2.87747559724246	4.254134899843	0.270843788747286	0.154901513440993	3.25844952967962	1.16745896530769
subject2842	-0.939230688123553	2.86877063031717	-0.768207029207623	2.18200524033548	0.774503523433545	3.6546834765233	1.82483214055174	-1.56510100797029	1.45830361976071	3.23716555967162	0.490678811935678	-1.00701545642294	2.82537786786342	4.21843765680802	3.05296141754868	2.49324279863463	-0.474051140174548	-0.675465992363563	3.62082957468693	1.77264242122764	0.220618622924836	-0.390595047355035	-1.13298193747267	1.00804059073055	-0.652690238967417	-2.07795285777609	3.09608216807309	4.07434372836788	1.47733522179021	1.17762911208328	1.34705471710317	-0.18216853484139	2.89792954382946	2.94010499943557	-1.173420082211	3.89612977609281	5.07451838834232	0.937283566618491	2.01455470116767	-0.0290647438030156	-1.02401163498867	0.435467566438618	-0.90487767024417	1.61400081831462	4.63591099199929	0.418657554531889	-3.11620955094547	0.956041223229156	0.665508907166815	-0.303752479473024	-2.20775712816037	-1.67460196854283	-0.306331643541016	-1.98249808681934	3.3562170483629	-0.450849739215575	-3.75042575741932	0.484958571961355	-0.0576572027549496	4.09494089148367	-0.44344634356443	-2.25481058106967	2.22736106107901	2.99858675007733	-0.627383531417537	-0.33156174431407	0.320965528850445	-0.741244857505966	1.91020753458715	1.27439099007118	2.44944363794997	-0.2710931137708	0.389286709121941	1.36700584909462	1.08285461790939	1.41302646190586	0.63816722637743	-1.6756219689944	0.168964349988819	1.56504219698342	1.71134733034104	1.99282936667362	4.19705018960815	-0.23644197309397	4.19554749068569	-2.43152153658996	4.43017448697627	2.0914081395281	-0.525114096345136	1.30158159805083	0.998170718375743	2.88293118051194	2.55802235559289	1.29971843641404	-0.0393305819500174	-2.54615893909412	0.319356134943063	2.33505826203016	1.58423660302221	1.43599778490197	2.45277577061363	0.401765147870211	-6.48100321553545	0.174653623395182	-0.926650421406845	3.96140009133511	-0.54781025724052	1.37699778232248	2.19852298794147	0.00165002967613176	3.07357691794188	1.60021737343911	-0.11849869665831	2.75578526493396	5.90376333553871	-0.971171135994988	2.73419830044604	3.04507959418168	-0.682483367707317	1.79629352962412	2.1364034135597	1.8839535429341	-1.09026001615026	2.55951012272231	3.22024062321792	3.66444449073692	0.790020978633181	-1.07958625489394	1.98732267212353	3.25521226094159	-0.552486005167159
subject5493	-0.321559913137262	4.29001613551384	-0.588034311590035	1.20608421123586	0.192731481105567	4.24413244717433	2.82890942356784	-1.83550041023157	2.90463597014139	2.64525824631083	3.19834322669581	-0.931916771852032	2.15565206264245	4.13563060253394	1.06249306491337	0.180297745298063	3.84215723043053	-1.41834067283486	0.946585487842051	-1.20969352247199	1.98207629863447	-2.94968249730401	-0.557379020063102	-0.445366857911392	2.87647973431394	-2.15552067194767	3.30444113078784	1.91389896702286	2.7585616680225	1.63126708002868	-0.558918502499018	0.754245737509895	1.96927172214876	2.08571968059515	-0.382391797571926	3.14003692186974	2.16030878150036	3.6858356200549	2.8459883154512	0.672004126666909	0.239312005749953	1.83288237416919	-0.689709002385767	2.59446362710947	5.81546163990139	3.65792707371479	0.99144983638215	6.39937265231866	2.08630909222142	-2.67080736397997	-0.377644214260547	0.332190645888151	0.790357198883459	-2.15199591556814	5.12173665535953	-0.276140651003436	-3.85896109472656	0.780044207110342	0.95860119244655	1.33612446642407	0.84341387143935	-3.01470162372122	1.63458215040224	3.76076603583353	-4.99747252961333	0.117040725060855	-0.00783878549111727	1.71927526006122	-0.488312285639286	-1.21105750893165	-0.850394807784068	0.176202757315423	-0.0321120887129552	3.29382076801787	2.85147416070941	0.0829655461750055	3.98999022620745	-0.545120730759536	-0.692233736493432	1.21718551759093	0.282559031424724	1.19382201328886	2.43607732363223	-2.01784511232681	2.51781258727202	-0.417202720170385	-0.29545370165383	1.86489575233762	2.43871248794519	-1.0413515572074	1.3253787366724	6.81944659404324	0.55271346509983	-0.0212208184245611	0.619743617081677	0.0410720275121461	-0.0277850941837681	2.09712223767999	-0.264348752472842	2.74108890379246	0.256447425187928	-1.75784585789485	-3.28623740897546	-0.338023360251479	1.71163458052199	4.35596668469652	-1.43650589907123	2.8057181258906	3.3050575663034	2.60075316796762	2.24369142131807	3.57244898927895	2.24956947628255	-1.56829276928844	2.78001372385072	0.200884884799402	2.15502790884475	2.73134270231124	-0.00463060743996419	3.54756595398386	-0.743870314750839	1.65477292635169	3.57676359291066	2.8066409645	1.11758349047712	2.79102695974824	3.54103995077725	1.07716330101271	0.190583385564934	2.25718378808131	0.676463034590348
subject597	1.67359680399901	3.89110129995961	1.54860973596942	2.001799775957	0.122657632833656	3.11311659394391	1.90960295603343	-0.730035560480637	1.97605062181028	2.49330798132852	0.609495908200154	-1.01170222801231	2.28379038984301	2.88520690110762	0.471063006470705	0.988787266849579	0.171744002637887	3.05695850724118	4.11360251645532	1.54654968866031	1.73692303264118	-0.379189575117397	-0.101584593093813	1.54196369689315	0.397858946094987	-1.94800722009756	3.75906475356203	-1.27248080297135	-0.557172251726607	1.82389561476526	0.949921395062171	-2.45004762683631	1.45370341763428	4.05161671428191	0.694488207105866	0.642677735463001	2.34841997181817	3.30963794898529	-0.809347545894464	0.331838645620392	0.825333782444667	0.436246780100319	-1.58269000486337	0.040234867273918	4.2967157444445	3.30732461633764	0.0376718428245644	5.50016462676141	0.0428685757956447	-2.49488256666339	1.68530420461631	-2.11735622862219	-0.213198138510294	-1.82527222808637	3.03520933645116	1.76204144953043	-4.1803500801901	0.317878771058238	5.7039073550271	1.91186065920748	2.24404995552554	-1.64677274865086	3.44323134695119	1.31183144421429	0.650939916597609	-3.15275987094852	2.60200877161532	-0.598730240055762	-0.947768836469568	0.305556175545013	-1.36583474207272	0.125245882756925	1.67470774947813	3.2382989547036	1.14390308476791	0.302694554746152	3.7870054030732	1.1760077426938	-0.359144285291657	-1.65605375412892	3.59506538824758	1.58865247406429	4.19162685838723	-1.33764690476783	4.55209402654547	-0.922503827861267	2.5556503782884	1.8732232271002	0.1658154324343	-0.301490864517487	3.41367214179272	1.76199780895689	2.87126483178866	0.42410990095592	-0.438637169552577	-0.925102156473799	2.93230108749938	2.19336026839167	1.23184711186838	1.10663912967804	0.579011324630515	1.41760407102988	-1.70033302541359	1.8196745528701	2.37278404355578	4.03388060644813	-0.297536445225803	2.44019824503222	0.641461083488887	2.30909838760942	1.20985790413653	-0.585266650478914	-0.19848939598502	0.724904861954864	4.49667289489262	1.05132658104361	-0.0459927779888933	3.14080785370492	2.68868518710871	2.66356905263204	1.83984612562863	3.76248325319182	0.714796371509316	2.9003535957191	2.45438114785577	-0.114554245771108	3.08050662071314	0.136344547199509	2.45408799566446	2.26995984992061	0.632249537856812
